"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"239" NA NA NA 0 NA NA NA NA NA NA NA NA
"264" NA NA NA 0 NA NA NA NA NA NA NA NA
"265" NA NA NA NA NA 0 NA NA NA NA NA NA
"289" NA NA NA NA NA 0 NA NA NA 0 NA NA
"312" NA NA NA NA NA NA NA NA NA 0 NA NA
"314" NA NA NA NA NA NA NA NA NA 0 NA NA
"318" NA NA NA NA NA NA NA NA NA 0 NA NA
"335" NA NA NA NA NA 0 NA NA NA 0 NA NA
"336" NA NA NA NA NA 0 NA NA NA 0 NA NA
"337" NA NA NA NA NA NA NA NA NA 0 NA NA
"340" NA NA NA NA NA NA NA NA NA 0 NA NA
"344" NA NA NA 0 0 NA 0 0 0 NA NA NA
"367" NA NA NA 0 NA NA NA NA NA NA NA NA
"379" NA NA NA NA NA NA NA NA NA 0 NA NA
"380" NA NA NA NA NA NA 1 NA 0 NA NA NA
"387" NA NA NA NA NA 0 NA NA NA 0 NA NA
"391" NA NA NA 0 0 NA NA NA NA NA NA NA
"405" NA NA NA NA NA NA NA NA NA 0 NA NA
"410" NA NA NA NA NA NA NA NA NA 0 NA NA
"414" NA NA 0 0 0 NA NA NA NA NA 0 NA
"455" NA NA NA NA NA NA NA NA NA 0 NA NA
"483" NA NA NA NA 0 NA NA NA NA NA NA NA
"524" NA NA NA NA NA NA NA 0 NA NA NA NA
"525" NA NA NA NA NA NA 0 NA NA NA NA NA
"535" NA NA NA NA NA NA NA NA NA NA 0 NA
"549" NA NA NA NA 0 NA NA NA NA NA NA NA
"557" NA NA NA NA NA NA NA NA NA 0 NA NA
"577" NA NA NA NA NA NA NA NA NA 0 NA NA
"579" NA NA NA NA NA NA NA NA NA 0 NA NA
"580" NA NA NA NA NA 0 NA NA NA NA NA NA
"584" NA NA NA NA NA 0 NA NA NA NA NA NA
"585" NA NA NA NA NA NA NA NA NA 0 NA NA
"587" NA NA NA NA NA 0 NA NA NA NA NA NA
"588" NA NA NA NA NA NA 0 NA NA NA NA NA
"597" NA NA NA NA NA NA NA NA NA 0 NA NA
"598" NA NA NA NA NA 0 NA NA NA NA NA NA
"600" NA NA NA NA NA NA NA NA NA 0 NA NA
"608" NA NA NA NA NA NA NA NA 0 NA NA NA
"618" NA NA NA NA NA 0 NA NA NA NA NA NA
"626" NA NA NA NA NA NA NA NA NA 0 NA NA
"637" NA NA NA NA NA 0 NA NA NA 0 NA NA
"638" NA NA NA NA NA NA NA NA NA 0 NA NA
"639" NA NA NA NA NA 0 NA NA NA NA NA NA
"643" NA NA NA NA NA NA NA NA NA 0 NA NA
"645" NA NA NA NA NA NA 0 NA 0 NA NA 0
"646" NA NA NA NA 0 0 NA NA NA 0 NA NA
"655" NA NA NA NA NA 0 NA NA NA 0 NA NA
"663" NA NA NA NA NA NA NA NA NA 0 NA NA
"677" NA NA NA NA NA NA NA NA NA 0 NA NA
