"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"62" NA 0 NA NA NA NA NA NA NA NA NA NA
"239" NA NA 0 NA NA NA NA NA NA NA NA NA
"263" NA NA NA NA NA 0 NA NA NA NA NA NA
"368" NA NA NA NA 0 NA NA NA NA NA NA NA
"391" NA NA NA NA NA 0 NA NA NA NA NA NA
"393" NA NA NA NA NA 0 NA NA NA 0 NA NA
"414" NA NA NA 0 0 0 NA NA 0 0 0 NA
"415" NA NA NA NA NA NA NA NA 0 NA NA NA
"416" NA NA NA NA NA 0 NA NA NA NA NA NA
"437" NA NA NA NA 0 0 NA NA 0 0 0 NA
"459" NA NA NA NA NA NA NA NA 0 0 NA NA
"461" NA NA NA NA 0 0 NA NA NA NA NA NA
"482" NA NA NA 0 0 0 NA NA 0 0 NA NA
"483" NA NA NA 0 NA 0 NA NA NA 0 NA NA
"504" NA NA NA 0 0 0 NA NA 0 0 NA NA
"505" NA NA NA NA NA 0 NA NA 0 NA NA NA
"526" NA NA NA 0 0 0 NA NA 0 0 NA NA
"527" NA NA NA NA 0 NA NA NA NA NA NA NA
"530" NA 0 NA NA NA NA NA NA NA NA NA NA
"547" NA NA NA 0 0 0 NA NA 0 NA NA NA
"548" NA NA NA NA 0 0 NA NA 0 NA NA NA
"549" NA NA NA NA 0 0 NA NA NA NA NA NA
"558" NA NA NA NA NA NA NA NA 0 NA NA NA
"565" NA NA NA NA NA NA NA NA NA 0 NA NA
"569" NA NA NA 0 0 0 NA NA 0 0 0 NA
"570" NA NA NA NA 0 0 NA NA 0 0 NA NA
"571" NA NA NA NA NA 0 NA NA NA NA NA NA
"591" NA NA NA 0 0 NA NA NA 0 0 NA NA
"592" NA NA NA NA 0 0 NA NA NA 0 NA NA
"611" NA NA NA NA 0 NA NA NA 0 NA NA NA
"612" NA NA NA NA 0 0 NA NA 0 0 NA NA
"613" NA NA NA NA NA 0 NA NA NA NA NA NA
"627" NA NA 0 NA NA NA NA NA NA 0 NA NA
"628" NA NA NA NA NA NA NA NA NA 0 NA NA
"632" NA NA NA NA 0 NA NA NA 0 0 NA NA
"633" NA NA NA 0 0 0 NA NA NA NA NA NA
"651" NA NA NA 0 0 0 NA NA 0 0 NA NA
"652" NA NA NA NA 0 NA NA NA NA NA 0 NA
"655" NA NA NA NA NA NA NA NA NA 0 NA NA
"668" NA NA NA 0 0 NA NA NA NA 0 NA NA
"669" NA NA NA NA 0 NA NA NA NA NA NA NA
"670" NA NA NA NA 0 0 NA NA 0 0 NA NA
"671" NA NA NA 0 0 0 NA NA 0 NA NA NA
"685" NA NA NA 0 0 NA NA NA 0 0 NA NA
"686" NA NA NA NA 0 NA NA NA 0 NA 0 NA
"687" NA NA NA 0 0 0 NA NA 0 0 0 NA
"698" NA NA NA 0 0 NA NA NA 0 0 0 0
"699" NA NA NA NA 0 0 NA NA 0 0 0 NA
"700" NA NA NA 0 0 NA NA NA NA NA 0 NA
"701" NA NA NA 0 NA NA NA NA NA NA NA NA
"706" NA NA NA NA NA NA NA NA NA NA 0 NA
"709" NA NA NA 0 0 NA NA NA 0 0 0 NA
"710" NA NA NA NA NA NA NA NA 0 0 NA NA
"711" NA NA NA 0 0 0 NA NA NA NA NA NA
"720" NA NA NA 0 0 0 NA NA 0 0 0 NA
"721" NA NA NA NA NA 0 NA NA NA NA NA NA
"722" NA NA NA NA 0 NA NA NA NA 0 NA NA
"724" NA NA NA 0 NA NA NA NA NA NA NA NA
"726" NA NA NA NA NA 0 NA NA NA NA NA NA
"730" NA NA NA NA NA NA NA NA NA 0 NA NA
"733" NA NA NA NA 0 0 NA NA 0 0 NA NA
"742" NA NA NA 0 0 0 NA NA 0 0 NA NA
"752" NA NA NA 0 0 0 NA NA NA 0 0 NA
"753" NA NA NA 0 0 0 NA NA 0 0 0 NA
"762" NA NA NA 0 0 0 NA NA 0 0 NA NA
"763" NA NA NA 0 0 NA NA NA NA 0 NA NA
"772" NA NA NA NA 0 0 NA NA 0 0 NA NA
"773" NA NA NA NA 0 NA NA NA 0 0 NA NA
"782" NA NA NA 0 0 0 NA NA 0 0 NA NA
"783" NA NA NA NA 0 NA NA NA NA NA NA NA
"791" NA NA NA NA NA NA NA NA NA 0 NA NA
"792" NA NA NA NA 0 0 NA NA 0 0 NA NA
"794" NA NA NA NA NA NA NA NA NA NA NA NA
"801" NA NA NA 0 0 0 NA NA 0 0 NA NA
"810" NA NA NA NA NA 0 NA NA NA NA NA NA
"826" NA NA NA NA NA 0 NA NA NA NA NA NA
"828" NA NA NA NA NA 0 NA NA NA NA NA NA
"842" NA NA NA 0 NA NA NA NA NA NA NA NA
"858" NA NA NA NA NA NA NA NA NA NA 0 NA
"877" NA NA NA NA NA NA NA NA NA 0 NA NA
"975" NA NA NA NA NA NA 0 NA NA NA NA NA
"1068" NA NA NA NA NA NA 0 NA NA NA NA NA
"1110" NA NA NA NA NA NA NA NA 0 NA NA NA
"1126" NA NA NA 0 NA NA NA NA NA NA NA NA
"1175" NA NA NA NA NA NA 0 NA NA NA NA NA
"1185" NA NA NA NA NA 0 NA NA NA NA NA NA
"1195" NA NA NA NA 0 NA NA NA NA NA NA NA
"1206" NA NA NA NA 0 NA NA NA NA NA NA NA
