"NLists" "NSppDetec"
"8484" 1 1
"8676" 1 1
"8726" 1 1
"8775" 10 2
"8776" 2 1
"8777" 4 2
"8822" 1 1
"8823" 1 1
"8828" 1 1
"8867" 3 2
"8868" 3 2
"8872" 1 1
"8913" 3 2
"8914" 4 2
"9005" 1 1
"9061" 2 2
"9094" 1 1
"9106" 1 1
"9152" 4 3
"9178" 1 1
"9195" 3 2
"9221" 2 1
"9223" 2 1
"9238" 2 2
"9263" 1 1
"9651" 1 1
"10000" 1 1
"10123" 1 1
"10125" 1 1
"10145" 1 1
"10148" 3 1
"10149" 1 1
"10173" 4 1
"10191" 1 1
"10195" 4 2
"10217" 2 2
"10238" 1 1
"10260" 4 3
"10284" 1 1
"10302" 1 1
"10304" 2 1
"10367" 1 1
"10369" 1 1
"10370" 2 2
"10388" 1 1
"10393" 1 1
"10408" 1 1
"10414" 3 1
"10429" 1 1
"10452" 1 1
"10474" 1 1
"10477" 1 1
"10496" 1 1
"10514" 2 1
"10571" 5 2
"10588" 1 1
"10590" 1 1
"10608" 2 1
"10609" 6 4
"10626" 5 2
"10642" 1 1
"10649" 9 3
"10671" 2 2
"10691" 20 5
"10705" 1 1
"10708" 1 1
"10728" 14 5
"10743" 1 1
"10745" 13 4
"10763" 3 1
"10776" 1 1
"10779" 3 2
"10780" 12 4
"10795" 1 1
"10796" 2 1
"10797" 9 2
"10798" 2 1
"10813" 1 1
"10817" 1 1
"10818" 11 4
"10819" 10 3
"10820" 3 2
"10821" 1 1
"10840" 1 1
"10841" 3 2
"10842" 2 2
"10858" 1 1
"10859" 21 4
"10860" 1 1
"10880" 3 1
"10881" 5 2
"10903" 12 3
"10904" 2 2
"10918" 1 1
"10919" 1 1
"10923" 1 1
"10925" 1 1
"10944" 1 1
"10971" 1 1
"10972" 1 1
"10979" 1 1
"10982" 1 1
"10990" 1 1
"10995" 1 1
"10997" 1 1
"11006" 1 1
"11008" 1 1
"11019" 1 1
"11023" 2 1
"11032" 2 1
"11034" 4 1
"11036" 1 1
"11049" 1 1
"11050" 3 1
"11059" 13 2
"11061" 6 1
"11076" 2 2
"11077" 2 1
"11084" 1 1
"11088" 2 1
"11089" 1 1
"11090" 22 2
"11091" 1 1
"11095" 1 1
"11104" 1 1
"11107" 2 1
"11115" 2 2
"11117" 2 1
"11118" 4 1
"11120" 11 1
"11136" 2 1
"11137" 1 1
"11143" 1 1
"11145" 1 1
"11147" 1 1
"11151" 24 3
"11152" 2 1
"11163" 1 1
"11166" 1 1
"11167" 4 1
"11171" 1 1
"11173" 1 1
"11180" 4 2
"11181" 3 1
"11182" 33 1
"11197" 2 1
"11211" 2 1
"11212" 22 1
"11227" 2 1
"11233" 3 2
"11239" 1 1
"11241" 1 1
"11242" 1 1
"11243" 38 1
"11244" 4 1
"11256" 1 1
"11257" 1 1
"11260" 3 1
"11262" 5 1
"11266" 1 1
"11270" 1 1
"11276" 10 3
"11277" 50 1
"11290" 2 1
"11293" 6 3
"11294" 25 2
"11295" 7 1
"11298" 1 1
"11305" 1 1
"11309" 9 1
"11310" 2 1
"11326" 1 1
"11328" 5 2
"11329" 40 3
"11330" 11 1
"11331" 2 1
"11334" 1 1
"11336" 1 1
"11344" 1 1
"11345" 31 1
"11362" 1 1
"11363" 6 1
"11364" 22 2
"11365" 7 1
"11368" 1 1
"11369" 1 1
"11379" 10 2
"11380" 6 1
"11398" 1 1
"11399" 9 2
"11400" 10 1
"11401" 4 1
"11404" 1 1
"11415" 25 2
"11416" 19 1
"11427" 2 2
"11435" 18 1
"11436" 12 1
"11440" 3 1
"11449" 1 1
"11450" 2 1
"11451" 29 1
"11464" 1 1
"11470" 3 1
"11472" 5 1
"11473" 4 1
"11475" 2 2
"11479" 1 1
"11486" 5 3
"11487" 15 3
"11488" 18 1
"11504" 2 2
"11507" 1 1
"11509" 7 1
"11510" 9 1
"11511" 2 1
"11512" 1 1
"11521" 1 1
"11524" 10 2
"11525" 43 1
"11543" 2 2
"11544" 1 1
"11545" 3 1
"11546" 1 1
"11548" 1 1
"11549" 2 1
"11550" 3 2
"11551" 1 1
"11562" 12 1
"11563" 17 1
"11580" 1 1
"11582" 1 1
"11584" 1 1
"11585" 1 1
"11587" 2 1
"11589" 3 2
"11590" 1 1
"11600" 4 1
"11601" 2 2
"11602" 5 2
"11603" 39 1
"11621" 2 1
"11623" 3 3
"11624" 1 1
"11625" 2 2
"11626" 4 2
"11627" 3 2
"11629" 2 1
"11638" 2 1
"11640" 5 3
"11641" 48 1
"11642" 12 1
"11661" 3 2
"11665" 1 1
"11667" 1 1
"11676" 1 1
"11678" 2 1
"11679" 16 2
"11680" 58 1
"11685" 1 1
"11697" 1 1
"11701" 3 2
"11703" 1 1
"11705" 1 1
"11706" 1 1
"11718" 6 1
"11719" 44 2
"11720" 11 1
"11725" 3 1
"11739" 2 1
"11740" 2 1
"11741" 1 1
"11746" 1 1
"11755" 2 1
"11758" 10 1
"11759" 31 3
"11781" 2 1
"11782" 1 1
"11783" 1 1
"11784" 2 2
"11786" 1 1
"11787" 1 1
"11788" 1 1
"11796" 2 1
"11799" 1 1
"11800" 25 3
"11801" 164 2
"11802" 14 2
"11803" 3 1
"11804" 2 1
"11806" 1 1
"11821" 1 1
"11823" 2 2
"11824" 3 2
"11825" 1 1
"11828" 2 2
"11829" 1 1
"11834" 1 1
"11840" 2 2
"11841" 7 3
"11842" 10 2
"11843" 28 2
"11844" 105 2
"11845" 25 2
"11864" 1 1
"11865" 1 1
"11879" 1 1
"11882" 3 1
"11883" 4 2
"11884" 7 2
"11885" 31 2
"11886" 42 2
"11887" 5 2
"11903" 1 1
"11908" 1 1
"11913" 1 1
"11924" 4 2
"11925" 19 2
"11926" 14 2
"11927" 52 3
"11928" 176 2
"11929" 27 2
"11930" 9 1
"11945" 3 2
"11946" 5 2
"11947" 1 1
"11948" 2 1
"11955" 1 1
"11966" 3 2
"11967" 10 2
"11968" 84 2
"11969" 21 4
"11970" 52 1
"11971" 121 3
"11972" 7 1
"11989" 2 2
"11990" 2 1
"11992" 3 1
"11993" 1 1
"11996" 2 1
"11997" 4 2
"12008" 1 1
"12009" 10 2
"12010" 43 3
"12011" 43 2
"12012" 72 1
"12013" 36 1
"12027" 1 1
"12029" 2 2
"12030" 2 1
"12032" 2 1
"12034" 1 1
"12039" 1 1
"12040" 2 2
"12046" 1 1
"12048" 4 2
"12049" 16 2
"12050" 6 2
"12051" 109 2
"12052" 53 1
"12072" 2 1
"12073" 1 1
"12087" 3 1
"12088" 7 2
"12089" 17 3
"12090" 62 2
"12091" 116 3
"12092" 1 1
"12115" 2 2
"12122" 1 1
"12126" 7 1
"12127" 2 2
"12128" 3 2
"12129" 17 1
"12130" 123 3
"12131" 88 2
"12132" 56 2
"12150" 1 1
"12155" 1 1
"12158" 1 1
"12165" 1 1
"12168" 4 2
"12169" 21 3
"12170" 101 2
"12171" 3 1
"12172" 9 1
"12206" 2 1
"12207" 1 1
"12208" 1 1
"12209" 14 2
"12210" 57 3
"12211" 97 1
"12212" 32 1
"12231" 1 1
"12232" 1 1
"12242" 1 1
"12244" 1 1
"12246" 1 1
"12248" 1 1
"12249" 3 2
"12250" 14 2
"12251" 65 1
"12252" 2 1
"12253" 4 1
"12254" 2 1
"12272" 1 1
"12288" 1 1
"12289" 1 1
"12291" 1 1
"12292" 1 1
"12294" 23 2
"12296" 25 1
"12335" 6 3
"12336" 34 4
"12337" 17 1
"12338" 47 1
"12356" 1 1
"12364" 2 2
"12374" 1 1
"12378" 3 1
"12379" 7 3
"12380" 11 1
"12381" 37 1
"12400" 1 1
"12416" 1 1
"12420" 2 2
"12421" 19 3
"12422" 16 2
"12423" 9 2
"12438" 1 1
"12440" 1 1
"12448" 2 1
"12461" 1 1
"12462" 3 2
"12463" 3 2
"12464" 6 1
"12465" 18 3
"12466" 8 1
"12481" 2 1
"12485" 2 1
"12491" 1 1
"12505" 2 2
"12506" 9 2
"12507" 11 1
"12508" 33 2
"12516" 1 1
"12522" 1 1
"12529" 1 1
"12530" 1 1
"12532" 1 1
"12544" 1 1
"12546" 2 1
"12547" 31 1
"12548" 6 1
"12549" 42 1
"12569" 1 1
"12570" 1 1
"12573" 1 1
"12587" 12 3
"12588" 8 2
"12589" 28 2
"12590" 57 1
"12597" 1 1
"12598" 1 1
"12611" 2 1
"12612" 2 1
"12613" 1 1
"12624" 1 1
"12627" 1 1
"12628" 22 2
"12629" 14 2
"12630" 48 2
"12668" 6 2
"12669" 4 3
"12670" 8 2
"12671" 57 1
"12679" 1 1
"12696" 1 1
"12708" 1 1
"12711" 5 1
"12712" 93 2
"12713" 2 2
"12746" 1 1
"12752" 12 2
"12753" 140 2
"12783" 1 1
"12793" 10 2
"12794" 18 1
"12795" 40 2
"12813" 1 1
"12817" 1 1
"12834" 1 1
"12835" 2 1
"12836" 2 2
"12837" 19 1
"12860" 1 1
"12862" 1 1
"12875" 1 1
"12876" 6 2
"12877" 1 1
"12878" 13 1
"12920" 1 1
"12921" 36 1
"12922" 5 1
"12963" 2 1
"12964" 1 1
"12967" 30 1
"12984" 1 1
"12995" 2 1
"13007" 1 1
"13010" 1 1
"13012" 2 1
"13013" 9 1
"13014" 22 2
"13052" 1 1
"13053" 1 1
"13054" 11 2
"13055" 4 1
"13056" 8 1
"13074" 1 1
"13075" 1 1
"13090" 1 1
"13096" 1 1
"13097" 2 1
"13118" 2 1
"13119" 1 1
"13122" 2 1
"13136" 2 2
"13138" 2 1
"13140" 1 1
"13141" 4 2
"13153" 1 1
"13164" 1 1
"13175" 1 1
"13179" 1 1
"13180" 4 2
"13181" 4 1
"13182" 1 1
"13184" 1 1
"13208" 1 1
"13210" 2 1
"13224" 13 4
"13225" 2 1
"13226" 7 2
"13227" 8 2
"13263" 1 1
"13266" 4 1
"13267" 1 1
"13268" 5 1
"13269" 2 1
"13291" 2 1
"13292" 1 1
"13301" 1 1
"13304" 1 1
"13306" 3 3
"13307" 4 3
"13309" 1 1
"13341" 1 1
"13348" 3 2
"13349" 4 1
"13350" 2 1
"13352" 1 1
"13384" 1 1
"13391" 3 2
"13432" 1 1
"13435" 1 1
"13436" 1 1
"13437" 1 1
"13439" 1 1
"13478" 1 1
"13480" 1 1
"13483" 1 1
"13484" 2 1
"13529" 1 1
"13532" 1 1
"13538" 2 1
"13579" 2 2
"13604" 2 2
"13608" 1 1
"13617" 1 1
"13625" 1 1
"13626" 3 2
"13627" 2 1
"13628" 1 1
"13633" 1 1
"13642" 1 1
"13657" 1 1
"13667" 4 2
"13669" 1 1
"13670" 1 1
"13673" 2 2
"13675" 1 1
"13698" 1 1
"13704" 1 1
"13705" 1 1
"13706" 1 1
"13724" 1 1
"13749" 1 1
"13752" 1 1
"13760" 1 1
"13762" 1 1
"13766" 1 1
"13769" 1 1
"13770" 1 1
"13775" 1 1
"13776" 2 1
"13802" 1 1
"13809" 1 1
"13810" 1 1
"13812" 2 2
"13813" 1 1
"13820" 1 1
"13847" 1 1
"13861" 2 1
"13894" 3 2
"13895" 1 1
"13905" 1 1
"13909" 2 1
"13910" 1 1
"13935" 1 1
"13944" 2 1
"13948" 1 1
"13952" 2 1
"13956" 2 1
"13993" 4 3
"14029" 1 1
"14030" 3 2
"14040" 5 2
"14041" 1 1
"14055" 1 1
"14059" 2 1
"14087" 1 1
"14103" 1 1
"14106" 1 1
"14128" 1 1
"14129" 2 1
"14131" 2 1
"14138" 1 1
"14180" 1 1
"14182" 7 3
"14184" 1 1
"14206" 1 1
"14219" 1 1
"14228" 1 1
"14230" 1 1
"14231" 2 1
"14232" 3 2
"14233" 1 1
"14253" 1 1
"14256" 1 1
"14276" 2 1
"14277" 1 1
"14278" 1 1
"14279" 1 1
"14280" 4 1
"14281" 2 1
"14298" 1 1
"14302" 1 1
"14324" 1 1
"14325" 2 1
"14326" 1 1
"14355" 1 1
"14367" 1 1
"14370" 1 1
"14371" 3 1
"14372" 1 1
"14393" 3 2
"14410" 2 1
"14414" 1 1
"14415" 3 2
"14416" 2 2
"14417" 3 1
"14426" 1 1
"14461" 1 1
"14464" 3 2
"14465" 4 2
"14507" 1 1
"14508" 3 2
"14510" 1 1
"14511" 1 1
"14513" 2 1
"14515" 3 2
"14553" 1 1
"14555" 1 1
"14556" 2 2
"14560" 1 1
"14561" 2 2
"14562" 1 1
"14602" 1 1
"14608" 2 1
"14638" 1 1
"14649" 1 1
"14654" 1 1
"14669" 1 1
"14697" 1 1
"14772" 1 1
"14790" 3 2
"14791" 1 1
"14830" 6 1
"14881" 1 1
"14923" 1 1
"14968" 1 1
"14974" 2 1
"15044" 1 1
"15072" 1 1
"15096" 1 1
"15116" 1 1
"15124" 3 1
"15207" 2 2
"15219" 1 1
"15324" 1 1
"15327" 1 1
"15437" 1 1
"15540" 2 1
"15594" 1 1
"15596" 1 1
"15656" 181 1
"15665" 1 1
"15708" 1 1
"15709" 1 1
"15710" 1 1
"15711" 3 3
"15760" 1 1
"15763" 19 3
"15815" 1 1
"15818" 1 1
"15864" 1 1
"15870" 2 1
"15871" 3 1
"15875" 1 1
"15911" 2 1
"15920" 1 1
"15921" 1 1
"15922" 2 1
"15976" 1 1
"15980" 1 1
"15986" 1 1
"16079" 1 1
"16085" 1 1
"16103" 1 1
"16209" 1 1
"16212" 2 2
"16266" 1 1
"16271" 2 1
"16277" 1 1
"16286" 3 1
"16287" 1 1
"16329" 1 1
"16340" 1 1
"16344" 1 1
"16389" 3 1
"16394" 1 1
"16428" 1 1
"16460" 1 1
"16463" 1 1
"16504" 2 1
"16505" 1 1
"16516" 1 1
"16562" 1 1
"16563" 14 2
"16568" 1 1
"16571" 1 1
"16573" 2 1
"16578" 10 1
"16604" 1 1
"16620" 4 2
"16626" 2 1
"16627" 1 1
"16631" 2 2
"16675" 1 1
"16677" 1 1
"16679" 1 1
"16732" 1 1
"16751" 1 1
"16785" 1 1
"16793" 2 1
"16859" 1 1
"16906" 1 1
"17014" 1 1
"17137" 1 1
"17185" 1 1
"17249" 1 1
"17305" 1 1
"17312" 2 2
"17338" 1 1
"17373" 2 2
"17374" 1 1
"17391" 1 1
"17393" 1 1
"17428" 1 1
"17449" 2 2
"17479" 1 1
"17485" 2 1
"17566" 1 1
"17584" 1 1
"17625" 4 2
"17643" 1 1
"17655" 1 1
"17668" 1 1
"17698" 1 1
"17709" 1 1
"17715" 1 1
"17716" 1 1
"17725" 1 1
"17767" 1 1
"17787" 1 1
"17824" 1 1
"17850" 2 1
"17899" 1 1
"17900" 1 1
"17911" 1 1
"17917" 2 2
"17918" 1 1
"17929" 1 1
"17995" 1 1
"18026" 1 1
"18047" 1 1
"18089" 1 1
"18104" 2 2
"18152" 1 1
"18162" 1 1
"18165" 1 1
"18166" 1 1
"18173" 2 1
"18200" 1 1
"18226" 1 1
"18227" 2 1
"18231" 3 3
"18239" 2 2
"18330" 1 1
"18348" 1 1
"18358" 1 1
"18372" 3 1
"18373" 1 1
"18374" 1 1
"18375" 1 1
"18409" 2 1
"18411" 1 1
"18417" 2 1
"18422" 1 1
"18436" 2 1
"18439" 1 1
"18475" 1 1
"18485" 2 1
"18486" 2 1
"18487" 1 1
"18490" 1 1
"18497" 1 1
"18543" 1 1
"18548" 1 1
"18551" 1 1
"18565" 1 1
"18567" 3 2
"18591" 1 1
"18609" 1 1
"18615" 1 1
"18655" 1 1
"18673" 2 1
"18695" 1 1
"18714" 1 1
"18738" 1 1
"18740" 1 1
"18752" 1 1
"18783" 1 1
"18784" 1 1
"18791" 2 1
"18808" 1 1
"18810" 1 1
"18820" 15 1
"18822" 1 1
"18847" 1 1
"18854" 1 1
"18868" 1 1
"18882" 1 1
"18924" 1 1
"18943" 1 1
"18989" 3 1
"18996" 1 1
"19050" 1 1
"19064" 1 1
"19111" 6 3
"19112" 2 1
"19113" 1 1
"19155" 1 1
"19156" 1 1
"19157" 11 3
"19160" 1 1
"19167" 1 1
"19168" 7 1
"19207" 1 1
"19213" 1 1
"19223" 4 1
"19224" 6 1
"19272" 24 3
"19281" 13 1
"19284" 1 1
"19290" 1 1
"19317" 1 1
"19325" 1 1
"19326" 1 1
"19336" 48 2
"19337" 2 1
"19389" 9 1
"19391" 5 1
"19398" 2 1
"19399" 1 1
"19414" 1 1
"19440" 2 2
"19441" 6 1
"19496" 3 1
"19497" 3 1
"19498" 8 1
"19552" 1 1
"19580" 1 1
"19597" 1 1
"19606" 5 2
"19607" 5 2
"19661" 6 2
"19704" 1 1
"19718" 3 1
"19724" 1 1
"19733" 1 1
"19745" 1 1
"19764" 1 1
"19784" 2 1
"19843" 2 1
"19844" 1 1
"19910" 3 2
"19976" 6 1
"19984" 1 1
"20105" 1 1
"20106" 11 1
"20108" 1 1
"20109" 1 1
"20170" 1 1
"20201" 4 2
"20233" 2 1
"20234" 1 1
"20240" 1 1
