"NLists" "NSppDetec"
"11" 1 1
"99" 4 1
"111" 1 1
"123" 11 2
"137" 2 1
"138" 12 2
"140" 3 1
"154" 72 2
"155" 97 2
"156" 4 1
"158" 21 2
"172" 8 2
"173" 7 1
"174" 30 2
"175" 90 2
"176" 32 2
"179" 15 2
"180" 3 2
"193" 68 2
"194" 10 2
"195" 20 2
"196" 7 2
"200" 29 2
"201" 21 2
"205" 2 2
"216" 13 3
"217" 68 2
"218" 3 1
"223" 4 1
"224" 13 2
"225" 9 2
"226" 37 1
"239" 25 2
"240" 15 2
"247" 3 2
"248" 7 2
"250" 4 1
"263" 2 1
"264" 5 2
"272" 13 2
"273" 12 2
"274" 8 1
"275" 49 1
"297" 4 2
"298" 6 2
"299" 65 1
"321" 5 2
"322" 51 1
"323" 32 1
"331" 1 1
"344" 5 1
"345" 67 1
"367" 28 1
"368" 3 1
"369" 1 1
"391" 73 3
"392" 2 1
"393" 55 1
"414" 31 2
"415" 11 1
"416" 7 1
"437" 90 1
"438" 49 1
"459" 15 1
"460" 52 1
"461" 20 1
"482" 40 2
"483" 41 1
"500" 1 1
"504" 14 1
"505" 11 1
"526" 33 1
"547" 8 1
"548" 26 1
"549" 5 1
"569" 42 1
"570" 41 1
"571" 21 1
"591" 49 1
"592" 94 1
"605" 1 1
"611" 5 1
"612" 53 1
"613" 9 1
"632" 28 1
"633" 11 1
"651" 23 1
"652" 4 1
"668" 1 1
"669" 2 1
"670" 3 1
"671" 14 1
"685" 24 1
"687" 9 1
"698" 27 1
"699" 31 1
"704" 4 1
"709" 12 1
"710" 36 1
"711" 4 1
"720" 20 2
"721" 38 1
"722" 5 1
"732" 29 1
"733" 12 1
"742" 21 1
"743" 21 1
"752" 23 1
"753" 19 1
"762" 24 1
"763" 1 1
"772" 10 1
"773" 2 1
"782" 15 1
"783" 2 1
"792" 15 1
"801" 14 1
"810" 7 1
"818" 43 1
"826" 110 1
"834" 27 1
"842" 105 1
"858" 4 1
"879" 1 1
"937" 1 1
"954" 1 1
"1000" 1 1
"1050" 1 1
"1157" 1 1
"1185" 2 2
"1192" 1 1
"1195" 1 1
"1199" 2 1
"1213" 2 1
"1223" 1 1
"1418" 1 1
"1464" 1 1
"1630" 1 1
"1665" 4 3
"1699" 1 1
"1960" 1 1
"1972" 2 2
"1985" 2 1
"2010" 4 1
"2115" 1 1
"2141" 1 1
"2163" 1 1
"2241" 4 2
"2534" 7 2
"2535" 4 1
"2544" 1 1
"2553" 3 2
"2562" 2 2
"2572" 1 1
"2581" 1 1
"2590" 5 3
"2598" 6 1
"2599" 1 1
"2615" 7 2
"2616" 42 2
"2617" 2 2
"2622" 4 3
"2624" 1 1
"2631" 2 2
"2632" 3 1
"2633" 1 1
"2634" 1 1
"2641" 65 1
"2642" 2 2
"2646" 1 1
"2648" 12 2
"2651" 1 1
"2652" 6 4
"2657" 4 2
"2658" 2 1
"2659" 5 1
"2660" 5 1
"2667" 24 5
"2668" 2 1
"2669" 17 1
"2670" 11 1
"2671" 2 2
"2676" 2 2
"2679" 1 1
"2693" 1 1
"2694" 2 2
"2697" 1 1
"2699" 8 1
"2708" 216 2
"2709" 26 2
"2711" 2 2
"2724" 139 4
"2738" 17 2
"2744" 1 1
"2746" 76 2
"2755" 2 1
"2760" 24 2
"2762" 1 1
"2768" 33 2
"2771" 1 1
"2792" 3 1
"2793" 2 2
"2800" 3 2
"2803" 1 1
"2814" 1 1
"2815" 1 1
"2818" 1 1
"2831" 1 1
"2839" 1 1
"2886" 1 1
"2889" 1 1
"2906" 1 1
"2910" 1 1
"2918" 1 1
"2934" 1 1
"2936" 1 1
"2949" 1 1
"2952" 1 1
"2963" 1 1
"2973" 1 1
"2996" 1 1
"3030" 1 1
"3069" 1 1
"3092" 1 1
