"NLists" "NSppDetec"
"1790" 1 1
"1792" 5 2
"1793" 6 2
"1803" 21 1
"1816" 4 1
"1817" 2 2
"1818" 1 1
"1819" 4 1
"1820" 8 1
"1832" 4 1
"1833" 3 1
"1834" 2 1
"1847" 10 1
"1848" 9 2
"1849" 1 1
"1857" 1 1
"1860" 2 1
"1861" 9 1
"1873" 1 1
"1875" 15 1
"1876" 2 1
"1877" 1 1
"1886" 2 1
"1887" 1 1
"1888" 3 1
"1889" 15 1
"1903" 37 1
"1904" 1 1
"1911" 1 1
"1916" 10 1
"1917" 4 1
"1925" 2 1
"1926" 9 1
"1927" 2 1
"1928" 6 1
"1929" 37 1
"1930" 1 1
"1939" 1 1
"1941" 9 2
"1942" 12 1
"1943" 2 1
"1953" 1 1
"1954" 19 1
"1955" 16 2
"1956" 1 1
"1958" 6 1
"1966" 9 1
"1967" 11 1
"1968" 1 1
"1977" 2 2
"1978" 2 1
"1979" 22 1
"1980" 4 1
"1981" 1 1
"1988" 1 1
"1990" 5 2
"1991" 25 2
"1992" 4 1
"1993" 1 1
"2002" 1 1
"2003" 6 3
"2004" 2 1
"2005" 1 1
"2015" 1 1
"2016" 1 1
"2025" 2 2
"2026" 2 1
"2027" 9 1
"2028" 2 1
"2037" 3 2
"2038" 5 1
"2039" 2 1
"2047" 1 1
"2048" 5 1
"2049" 3 2
"2050" 3 1
"2051" 1 1
"2057" 4 1
"2058" 1 1
"2060" 1 1
"2065" 2 2
"2066" 5 2
"2067" 4 1
"2068" 5 1
"2070" 3 1
"2076" 3 1
"2077" 13 2
"2078" 3 2
"2079" 2 1
"2081" 1 1
"2084" 1 1
"2085" 5 1
"2086" 10 3
"2092" 1 1
"2093" 5 1
"2094" 2 1
"2101" 8 3
"2102" 7 1
"2103" 3 1
"2104" 1 1
"2107" 1 1
"2109" 5 2
"2110" 14 3
"2111" 6 1
"2112" 5 2
"2113" 1 1
"2118" 5 1
"2119" 8 1
"2120" 7 1
"2121" 1 1
