"NLists" "NSppDetec"
"62" 1 1
"239" 1 1
"263" 4 1
"368" 2 1
"391" 2 1
"393" 2 1
"414" 14 1
"415" 1 1
"416" 4 1
"437" 8 1
"459" 2 1
"461" 3 1
"482" 15 1
"483" 5 1
"504" 12 1
"505" 3 1
"526" 20 1
"527" 1 1
"530" 1 1
"547" 5 1
"548" 33 1
"549" 5 1
"558" 1 1
"565" 2 1
"569" 37 1
"570" 12 1
"571" 6 1
"591" 27 1
"592" 11 1
"611" 8 1
"612" 15 1
"613" 3 1
"627" 2 1
"628" 1 1
"632" 9 1
"633" 3 1
"651" 38 1
"652" 4 1
"655" 1 1
"668" 5 1
"669" 1 1
"670" 7 1
"671" 9 1
"685" 12 1
"686" 3 1
"687" 25 1
"698" 21 1
"699" 14 1
"700" 4 1
"701" 13 2
"706" 1 1
"709" 11 1
"710" 3 1
"711" 4 1
"720" 13 1
"721" 1 1
"722" 3 1
"724" 15 3
"726" 4 1
"730" 1 1
"733" 4 1
"742" 8 1
"752" 7 1
"753" 18 1
"762" 8 1
"763" 3 1
"772" 6 1
"773" 5 1
"782" 8 1
"783" 1 1
"791" 2 2
"792" 11 1
"794" 0 0
"801" 17 1
"810" 1 1
"826" 1 1
"828" 4 1
"842" 1 1
"858" 1 1
"877" 1 1
"975" 1 1
"1068" 1 1
"1110" 2 1
"1126" 16 2
"1175" 1 1
"1185" 1 1
"1195" 1 1
"1206" 1 1
"1213" 1 1
"1256" 1 1
"1257" 1 1
"1286" 4 1
"1290" 1 1
"1303" 3 1
"1306" 1 1
"1336" 3 1
"1353" 12 1
"1360" 1 1
"1375" 1 1
"1419" 1 1
"1484" 1 1
"1592" 1 1
"1640" 1 1
"1685" 1 1
"1770" 2 1
"1816" 1 1
"1884" 1 1
"1976" 1 1
"1977" 1 1
"1985" 31 2
"2000" 1 1
"2010" 1 1
"2044" 1 1
"2064" 7 1
"2098" 1 1
"2101" 2 1
"2124" 7 2
"2134" 1 1
"2137" 2 1
"2142" 5 3
"2161" 5 2
"2163" 6 1
"2180" 1 1
"2181" 1 1
"2186" 2 1
"2197" 2 1
"2226" 1 1
"2241" 6 3
"2242" 1 1
"2253" 1 1
"2256" 1 1
"2275" 6 3
"2278" 1 1
"2281" 2 1
"2325" 3 1
"2336" 1 1
"2346" 1 1
"2349" 1 1
"2361" 2 2
"2370" 2 1
"2380" 6 1
"2390" 18 3
"2403" 7 4
"2415" 5 4
"2461" 2 1
"2505" 2 1
"2527" 1 1
"2535" 3 1
"2545" 2 1
"2564" 3 1
"2571" 1 1
"2584" 2 1
"2591" 6 4
"2597" 3 1
"2600" 1 1
"2631" 2 2
"2632" 1 1
"2635" 6 1
"2643" 1 1
"2644" 1 1
"2648" 1 1
"2652" 4 3
"2659" 1 1
"2667" 1 1
"2693" 1 1
"2702" 7 4
"2711" 2 1
"2733" 1 1
"2745" 2 1
"2748" 1 1
"2755" 9 4
"2762" 1 1
"2779" 1 1
"2789" 1 1
"2792" 3 2
"2793" 1 1
"2807" 1 1
"2814" 1 1
"2816" 1 1
"2866" 3 2
"2885" 2 1
"2891" 2 1
"2897" 3 3
"2899" 2 1
"2910" 1 1
"2916" 1 1
"2918" 1 1
"2920" 1 1
"2921" 1 1
"2924" 1 1
"2931" 1 1
"2933" 11 5
"2934" 8 2
"2935" 1 1
"2942" 1 1
"2950" 3 1
"2977" 3 1
"2988" 9 2
"3001" 6 3
"3012" 2 1
"3014" 7 4
"3017" 1 1
"3027" 4 1
"3050" 2 1
"3053" 2 2
"3057" 1 1
"3066" 4 3
"3077" 1 1
"3084" 1 1
"3094" 1 1
"3105" 3 1
"3155" 1 1
"3162" 1 1
"3172" 1 1
"3189" 1 1
"3191" 2 1
"3197" 1 1
"3204" 1 1
"3214" 1 1
"3236" 4 4
"3246" 4 3
"3247" 10 2
"3262" 15 3
"3294" 7 2
"3313" 7 3
"3317" 1 1
"3363" 1 1
"3403" 3 1
"3414" 6 2
"3415" 1 1
"3463" 1 1
"3472" 2 1
"3486" 1 1
"3497" 1 1
"3516" 1 1
"3550" 2 2
"3553" 3 1
"3554" 8 5
"3572" 1 1
"3580" 3 2
"3581" 4 2
"3585" 1 1
"3612" 1 1
"3648" 1 1
"3649" 2 2
"3654" 13 2
"3671" 1 1
"3700" 1 1
"3705" 3 2
"3713" 1 1
"3747" 1 1
"3748" 1 1
"3818" 2 2
"3845" 1 1
"3861" 1 1
"3862" 1 1
"3897" 1 1
"3898" 1 1
"3907" 1 1
"3917" 1 1
"3924" 1 1
