"NLists" "NSppDetec"
"368" 2 1
"391" 1 1
"414" 10 1
"416" 2 1
"437" 5 1
"459" 2 1
"461" 3 1
"482" 11 1
"483" 4 1
"504" 7 1
"505" 3 1
"526" 15 1
"527" 1 1
"547" 2 1
"548" 18 1
"549" 4 1
"569" 19 1
"570" 10 1
"571" 5 1
"591" 19 1
"592" 8 1
"611" 6 1
"612" 11 1
"613" 3 1
"632" 5 1
"633" 2 1
"651" 26 1
"652" 3 1
"668" 4 1
"670" 4 1
"671" 5 1
"685" 9 1
"686" 3 1
"687" 13 1
"698" 6 1
"699" 7 1
"700" 2 1
"709" 6 1
"710" 1 1
"720" 9 1
"722" 2 1
"733" 3 1
"742" 4 1
"752" 4 1
"753" 14 1
"762" 4 1
"763" 1 1
"772" 3 1
"773" 4 1
"782" 2 1
"792" 5 1
"801" 10 1
"810" 1 1
"828" 2 1
"842" 1 1
"858" 1 1
"1110" 2 1
"1286" 2 1
"1303" 3 1
"1336" 3 1
"1353" 10 1
"1985" 31 2
"2010" 1 1
"2124" 3 1
"2137" 1 1
"2142" 4 2
"2161" 5 2
"2163" 6 1
"2275" 4 1
"2281" 2 1
"2403" 6 3
"2415" 3 2
"2545" 1 1
"2584" 1 1
"2866" 2 1
"2897" 2 2
"2931" 1 1
"2935" 1 1
"3094" 1 1
"4385" 16 5
"4419" 50 4
"4452" 25 4
"4484" 1 1
"4485" 28 6
"4517" 26 4
"4548" 1 1
"4549" 42 5
"4579" 41 1
"4581" 11 3
"4613" 38 3
"4634" 1 1
"4642" 3 1
"4695" 1 1
"4913" 1 1
"4934" 8 2
"5005" 1 1
"5006" 6 2
"5039" 31 4
"5056" 1 1
"5071" 12 3
"5082" 18 2
"5084" 1 1
"5095" 16 1
"5108" 2 1
"5119" 1 1
"5133" 4 1
"5146" 1 1
"5159" 2 1
"5166" 26 3
"5175" 9 4
"5177" 1 1
"5178" 6 3
"5184" 1 1
"5193" 6 3
"5194" 3 3
"5195" 1 1
"5197" 2 2
"5198" 6 4
"5199" 4 3
"5206" 1 1
"5217" 4 3
"5221" 1 1
"5222" 13 3
"5223" 3 2
"5238" 10 3
"5239" 3 2
"5243" 1 1
"5244" 1 1
"5245" 4 3
"5246" 5 2
"5247" 13 2
"5263" 4 3
"5264" 4 2
"5268" 1 1
"5270" 3 1
"5272" 2 2
"5273" 7 4
"5280" 15 1
"5287" 1 1
"5288" 9 4
"5294" 1 1
"5295" 1 1
"5296" 1 1
"5299" 7 3
"5313" 2 1
"5314" 3 2
"5320" 1 1
"5321" 1 1
"5323" 1 1
"5324" 1 1
"5326" 5 3
"5327" 3 2
"5332" 4 1
"5339" 3 3
"5347" 2 1
"5350" 1 1
"5353" 3 3
"5354" 5 2
"5359" 7 1
"5364" 3 3
"5371" 1 1
"5372" 3 1
"5373" 1 1
"5380" 12 4
"5389" 1 1
"5396" 1 1
"5397" 1 1
"5398" 1 1
"5399" 2 1
"5406" 14 5
"5411" 7 1
"5416" 3 3
"5421" 2 1
"5424" 1 1
"5426" 2 1
"5427" 1 1
"5428" 2 2
"5434" 2 2
"5446" 1 1
"5449" 1 1
"5452" 1 1
"5453" 1 1
"5454" 1 1
"5456" 3 2
"5461" 1 1
"5468" 2 1
"5474" 10 5
"5492" 1 1
"5494" 1 1
"5501" 3 2
"5506" 3 2
"5526" 2 2
"5539" 1 1
"5543" 1 1
"5560" 3 2
"5566" 15 1
"5594" 1 1
"5600" 32 1
"5617" 1 1
"5628" 1 1
"5630" 2 2
"5636" 10 1
"5640" 1 1
"5666" 1 1
"5674" 9 1
"5675" 1 1
"5705" 3 2
"5714" 29 3
"5715" 6 1
"5717" 1 1
"5745" 1 1
"5746" 6 3
"5755" 37 4
"5759" 2 1
"5786" 1 1
"5787" 1 1
"5797" 2 1
"5829" 1 1
"5834" 1 1
"5841" 12 3
"5842" 5 3
"5876" 2 2
"5879" 2 2
"5888" 21 3
"5889" 6 1
"5927" 11 2
"5936" 9 2
"5937" 11 1
"5938" 1 1
"5959" 1 1
"5972" 1 1
"5974" 1 1
"5975" 3 3
"5984" 4 2
"5985" 19 1
"5989" 1 1
"6021" 1 1
"6022" 1 1
"6023" 1 1
"6026" 1 1
"6034" 6 1
"6035" 13 1
"6036" 5 1
"6037" 2 1
"6089" 8 2
"6090" 1 1
"6098" 3 3
"6131" 6 3
"6150" 1 1
"6151" 1 1
"6158" 5 1
"6178" 1 1
"6180" 1 1
"6197" 2 1
"6204" 3 1
"6205" 5 1
"6208" 1 1
"6226" 1 1
"6227" 1 1
"6228" 5 3
"6239" 1 1
"6241" 4 2
"6242" 1 1
"6243" 2 1
"6246" 4 2
"6247" 1 1
"6249" 1 1
"6283" 1 1
"6295" 5 2
"6313" 1 1
"6315" 1 1
"6350" 1 1
"6351" 1 1
"6382" 1 1
"6383" 1 1
"6398" 1 1
"6400" 7 4
"6416" 3 2
"6441" 1 1
"6444" 1 1
"6453" 1 1
"6455" 1 1
"6457" 3 2
"6467" 34 1
"6472" 1 1
"6480" 3 3
"6491" 1 1
"6493" 1 1
"6497" 1 1
"6508" 1 1
"6509" 2 2
"6533" 3 2
"6534" 2 1
"6535" 8 4
"6547" 2 1
"6563" 135 1
"6564" 1 1
"6565" 6 2
"6592" 1 1
"6597" 3 3
"6631" 3 3
"6632" 2 1
"6666" 2 1
"6690" 3 1
"6734" 8 2
"6742" 1 1
"6744" 2 1
"6782" 1 1
"6784" 1 1
"6821" 1 1
"6824" 6 2
"6859" 2 2
"6861" 1 1
"6863" 4 1
"6892" 8 1
"6893" 1 1
"6898" 2 2
"6900" 1 1
"6902" 2 1
"6937" 1 1
"6939" 2 1
"6940" 1 1
"6963" 2 1
"7010" 3 2
"7019" 1 1
"7049" 3 2
"7050" 1 1
"7055" 1 1
"7098" 15 4
"7127" 1 1
"7175" 7 3
"7202" 2 2
"7203" 4 2
"7248" 3 3
"7276" 3 2
"7284" 20 4
"7311" 3 2
"7312" 1 1
"7317" 1 1
"7319" 6 4
"7320" 1 1
"7350" 10 3
"7358" 12 3
"7359" 7 3
"7387" 5 3
"7394" 8 3
"7395" 8 4
"7396" 14 5
"7420" 18 4
"7426" 1 1
"7430" 3 2
"7456" 2 1
"7457" 1 1
"7462" 3 2
"7467" 7 1
"7493" 3 2
"7498" 1 1
"7504" 9 3
"7530" 9 3
"7537" 10 2
"7565" 6 3
"7566" 6 2
"7572" 3 2
"7574" 11 3
"7576" 1 1
"7577" 12 3
"7601" 12 4
"7606" 1 1
"7611" 1 1
"7643" 9 1
"7646" 3 1
"7648" 1 1
"7652" 12 3
"7679" 2 2
"7683" 1 1
"7685" 1 1
"7687" 1 1
"7690" 12 3
"7822" 2 2
"7834" 1 1
"7842" 1 1
"7844" 7 4
"7880" 7 3
"7900" 1 1
"7909" 3 3
"7920" 19 4
"7987" 2 1
"7996" 11 5
"8016" 1 1
"8025" 3 1
"8075" 1 1
"8100" 4 1
"8119" 12 4
"8165" 1 1
"8166" 1 1
"8211" 1 1
"8218" 1 1
"8219" 1 1
"8259" 12 2
"8264" 3 1
"8266" 10 2
"8314" 2 1
"8366" 1 1
"8368" 16 3
"8379" 1 1
"8420" 1 1
"8421" 1 1
"8422" 4 2
"8432" 1 1
"8475" 2 2
"8528" 7 3
"8537" 20 2
"8538" 5 2
"8539" 3 1
"8540" 2 2
"8576" 5 2
"8577" 5 4
"8585" 3 1
"8586" 23 2
"8587" 14 2
"8588" 10 2
"8589" 4 1
"8590" 2 1
"8619" 1 1
"8622" 16 3
"8630" 16 2
"8631" 10 2
"8632" 14 2
"8633" 13 2
"8634" 3 1
"8666" 2 1
"8667" 2 2
"8676" 16 2
"8677" 11 3
"8678" 5 2
"8679" 13 2
"8680" 4 2
"8681" 3 1
"8709" 5 1
"8711" 1 1
"8715" 15 5
"8727" 27 3
"8728" 3 2
"8730" 2 1
"8731" 1 1
"8775" 3 2
"8776" 13 2
"8810" 3 3
"8812" 15 5
"8823" 6 3
"8824" 11 3
"8825" 8 2
"8860" 17 3
"8867" 4 3
"8868" 6 2
"8869" 8 2
"8870" 14 3
"8871" 12 2
"8895" 3 1
"8904" 2 1
"8906" 2 1
"8907" 1 1
"8913" 6 4
"8914" 22 4
"8915" 22 4
"8916" 10 3
"8917" 14 5
"8918" 8 2
"8947" 2 2
"8952" 4 2
"8960" 11 4
"8961" 11 2
"8962" 8 3
"8963" 3 2
"8964" 8 3
"8965" 10 3
"8966" 11 4
"8987" 1 1
"8996" 1 1
"8997" 3 2
"8998" 36 6
"9004" 3 3
"9005" 15 5
"9006" 8 3
"9007" 1 1
"9009" 2 1
"9010" 3 1
"9011" 8 1
"9012" 7 3
"9013" 6 2
"9014" 4 2
"9043" 5 4
"9044" 1 1
"9045" 7 3
"9050" 1 1
"9051" 8 3
"9052" 3 1
"9056" 1 1
"9057" 1 1
"9058" 9 2
"9059" 22 4
"9060" 12 2
"9061" 10 3
"9088" 3 2
"9089" 3 2
"9094" 3 2
"9095" 2 2
"9096" 1 1
"9097" 1 1
"9102" 6 2
"9103" 13 2
"9104" 6 4
"9105" 14 2
"9106" 11 2
"9134" 5 2
"9135" 28 4
"9139" 4 3
"9140" 3 1
"9141" 2 1
"9147" 1 1
"9149" 5 2
"9150" 10 2
"9151" 11 3
"9152" 3 1
"9176" 1 1
"9177" 2 2
"9181" 2 1
"9182" 6 2
"9188" 1 1
"9189" 2 1
"9192" 3 2
"9193" 10 2
"9194" 13 1
"9213" 2 1
"9220" 7 2
"9221" 8 4
"9222" 5 3
"9223" 2 2
"9224" 3 2
"9225" 8 5
"9228" 1 1
"9229" 1 1
"9237" 11 4
"9238" 15 3
"9255" 1 1
"9259" 1 1
"9260" 1 1
"9261" 14 5
"9262" 5 3
"9263" 6 3
"9264" 7 3
"9268" 2 1
"9276" 4 2
"9277" 7 2
"9278" 13 2
"9298" 1 1
"9300" 1 1
"9301" 6 3
"9302" 17 5
"9303" 3 2
"9304" 6 3
"9305" 5 3
"9306" 1 1
"9309" 2 2
"9319" 9 2
"9320" 13 3
"9321" 3 1
"9343" 4 1
"9344" 9 2
"9346" 1 1
"9347" 2 1
"9349" 1 1
"9360" 1 1
"9361" 18 3
"9362" 10 3
"9363" 16 2
"9366" 14 3
"9367" 19 3
"9385" 3 2
"9386" 2 2
"9387" 4 3
"9388" 4 1
"9389" 2 1
"9390" 2 1
"9392" 2 1
"9393" 2 1
"9394" 1 1
"9402" 1 1
"9403" 8 1
"9404" 15 2
"9405" 14 3
"9406" 7 2
"9407" 15 3
"9408" 10 1
"9409" 8 3
"9426" 3 3
"9427" 4 2
"9428" 1 1
"9431" 3 1
"9434" 3 2
"9435" 1 1
"9444" 5 2
"9445" 13 2
"9446" 14 3
"9447" 23 2
"9448" 29 2
"9449" 22 4
"9450" 16 1
"9466" 1 1
"9467" 2 1
"9471" 1 1
"9473" 3 1
"9475" 1 1
"9483" 1 1
"9485" 6 2
"9486" 12 3
"9487" 18 3
"9488" 19 2
"9489" 14 2
"9490" 10 2
"9491" 15 1
"9510" 2 1
"9511" 2 1
"9512" 5 1
"9515" 2 1
"9525" 2 1
"9526" 3 1
"9527" 5 2
"9528" 14 2
"9529" 30 2
"9530" 17 2
"9531" 19 2
"9532" 17 4
"9550" 3 1
"9551" 2 1
"9554" 4 1
"9555" 3 2
"9556" 2 1
"9557" 2 1
"9562" 1 1
"9568" 6 1
"9569" 7 2
"9570" 13 1
"9571" 24 2
"9572" 22 1
"9573" 2 1
"9588" 1 1
"9590" 5 2
"9591" 2 1
"9593" 2 1
"9597" 2 1
"9598" 1 1
"9603" 2 1
"9604" 3 1
"9606" 1 1
"9608" 2 2
"9609" 1 1
"9610" 7 1
"9611" 18 2
"9612" 29 3
"9613" 3 1
"9629" 2 1
