"NLists" "NSppDetec"
"2648" 1 1
"2667" 2 1
"2931" 1 1
"3776" 1 1
"4432" 1 1
"4513" 2 1
"4528" 1 1
"4546" 1 1
"4821" 1 1
"4966" 1 1
"5096" 1 1
"5134" 1 1
"5148" 1 1
"5159" 7 1
"5175" 9 1
"5177" 8 1
"5178" 5 1
"5193" 3 1
"5194" 7 1
"5197" 6 1
"5198" 3 1
"5199" 5 1
"5217" 10 1
"5222" 7 1
"5223" 6 1
"5238" 2 1
"5239" 4 1
"5245" 1 1
"5246" 1 1
"5247" 16 1
"5264" 2 1
"5272" 1 1
"5273" 7 1
"5287" 1 1
"5288" 2 1
"5299" 8 1
"5307" 1 1
"5313" 3 1
"5314" 2 1
"5326" 2 1
"5327" 5 1
"5339" 1 1
"5353" 1 1
"5354" 9 1
"5364" 1 1
"5380" 17 1
"5406" 10 1
"5407" 1 1
"5434" 3 1
"5461" 2 1
"5462" 3 1
"5494" 1 1
"5705" 2 1
"5715" 1 1
"5746" 5 1
"5797" 1 1
"5834" 1 1
"5841" 1 1
"5879" 1 1
"5888" 1 1
"5927" 1 1
"5975" 2 1
"6026" 3 1
"6036" 1 1
"6078" 3 1
"6093" 1 1
"6094" 1 1
"6131" 16 1
"6150" 2 1
"6228" 5 1
"6229" 1 1
"6272" 2 1
"6315" 5 1
"6353" 2 1
"6383" 2 1
"6400" 24 1
"6416" 9 1
"6444" 3 1
"6457" 2 1
"6480" 4 1
"6493" 7 1
"6508" 3 1
"6533" 2 1
"6534" 2 1
"6535" 6 1
"6564" 1 1
"6565" 5 1
"6597" 1 1
"6631" 1 1
"6632" 2 1
"6824" 2 1
"6863" 1 1
"6902" 10 1
"7098" 4 1
"7175" 3 1
"7284" 4 1
"7319" 1 1
"7359" 7 1
"7396" 3 1
"7430" 3 1
"7467" 3 1
"7504" 5 1
"7574" 1 1
"7577" 4 1
"7652" 7 1
"7690" 3 1
"7769" 1 1
"7822" 1 1
"7844" 4 1
"7880" 1 1
"7920" 5 1
"8181" 5 1
"8182" 8 1
"8232" 3 1
"8233" 11 1
"8234" 12 1
"8235" 9 1
"8236" 1 1
"8237" 1 1
"8266" 2 1
"8283" 5 1
"8284" 10 1
"8285" 12 1
"8286" 8 1
"8287" 7 1
"8331" 1 1
"8332" 5 1
"8333" 5 1
"8334" 1 1
"8335" 4 1
"8336" 13 1
"8337" 4 1
"8379" 1 1
"8386" 3 1
"8391" 2 1
"8422" 1 1
"8432" 5 1
"8435" 1 1
"8439" 1 1
"8475" 1 1
"8484" 2 1
"8485" 5 1
"8486" 2 1
"8487" 1 1
"8489" 1 1
"8491" 1 1
"8528" 3 1
"8536" 6 1
"8537" 10 1
"8538" 5 1
"8539" 1 1
