"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"99" NA NA NA NA 0 0 NA NA NA NA NA NA
"123" NA NA NA 0 0 NA NA 0 NA 0 NA 0
"137" NA NA 0 NA NA NA NA NA NA 0 NA NA
"138" NA 0 NA 0 NA NA 0 NA 0 0 NA NA
"140" NA NA NA NA NA NA NA 0 NA NA NA NA
"154" NA 0 0 0 0 0 0 NA 0 0 0 NA
"155" 0 0 0 0 0 0 0 0 0 0 0 0
"156" NA NA 0 NA NA NA NA NA NA NA NA NA
"158" NA 0 0 0 0 0 0 0 NA NA NA NA
"172" NA NA NA 0 NA NA NA NA 0 NA NA NA
"173" NA 0 NA NA 0 NA NA NA 0 NA NA NA
"174" NA NA 0 0 0 NA NA NA 0 NA 0 NA
"175" 0 0 0 0 0 0 0 0 0 0 0 0
"176" NA NA NA NA 0 0 0 0 0 0 NA NA
"179" 0 NA NA NA 0 0 NA NA NA NA NA 0
"180" NA NA NA 0 NA NA NA NA NA 0 NA NA
"193" NA 0 0 0 0 0 NA 0 0 0 NA NA
"194" NA NA NA NA 0 0 NA NA NA 0 NA NA
"195" NA NA NA 0 0 0 NA NA 0 0 0 NA
"196" NA NA NA NA NA NA NA NA 0 0 NA 0
"200" NA NA 0 NA 0 0 NA 0 0 0 NA NA
"201" NA NA 0 0 0 0 NA 0 0 0 0 NA
"216" NA NA NA NA 0 NA NA NA 0 NA NA NA
"217" NA 0 0 0 0 0 NA 0 0 0 0 NA
"218" NA NA NA 0 0 NA NA NA NA NA NA NA
"223" NA NA NA NA NA 0 NA NA NA NA NA NA
"224" NA NA NA NA 0 0 NA NA NA 0 0 NA
"225" NA NA 0 0 NA NA NA NA NA 0 0 NA
"226" NA NA 0 0 0 NA 0 0 NA 0 NA 0
"239" 0 NA 0 0 0 NA NA NA 0 0 0 NA
"240" NA NA NA 0 NA 0 NA NA NA 0 0 NA
"247" NA NA NA NA NA NA NA NA 0 NA NA NA
"248" NA NA NA NA 0 0 NA NA NA NA NA NA
"250" NA NA NA 0 NA NA NA NA NA NA NA NA
"264" NA NA NA NA 0 NA NA NA 0 NA 0 NA
"272" 0 NA NA NA 0 NA NA NA 0 0 NA 0
"273" NA NA 0 NA 0 NA NA NA NA 0 0 NA
"274" NA 0 NA NA NA 0 NA NA NA NA NA NA
"275" NA NA 0 0 0 0 NA 0 0 0 0 NA
"297" NA NA NA NA 0 NA NA NA 0 0 NA NA
"298" NA NA NA NA NA 0 NA NA NA 0 NA 0
"299" 0 0 0 0 0 0 0 0 0 0 0 0
"321" NA NA NA NA NA NA NA NA 0 0 NA NA
"322" 0 0 NA 0 0 0 0 0 0 0 0 0
"323" 0 NA 0 0 0 0 NA NA 0 0 0 0
"344" NA NA NA NA 0 NA NA NA NA 0 NA NA
"345" 0 0 0 0 0 0 0 0 0 0 0 0
"367" NA NA 0 0 NA 0 0 0 0 0 0 0
"368" NA NA NA NA NA 0 NA NA 0 NA NA NA
"369" NA NA NA NA NA NA 0 NA NA NA NA NA
"391" 0 0 0 0 0 0 0 NA 0 0 0 0
"392" NA NA NA NA NA 0 NA NA NA NA 0 NA
"393" NA 0 NA 0 0 0 0 0 0 0 0 NA
"414" 0 NA 0 NA 0 NA 0 NA 0 0 0 NA
"415" NA NA NA 0 0 0 NA 0 NA NA NA NA
"416" NA NA NA NA NA 0 NA 0 NA NA NA NA
"437" 0 0 0 NA 0 NA 0 0 0 0 0 0
"438" 0 0 0 0 0 0 0 0 NA 0 0 0
"459" 0 NA NA 0 NA NA 0 0 0 0 NA 0
"460" NA 0 0 0 NA 0 0 0 0 0 0 0
"461" NA 0 NA 0 0 0 NA 0 NA NA NA 0
"482" NA 0 0 0 0 0 0 0 0 0 0 0
"483" 0 0 0 0 0 0 0 0 0 0 0 NA
"504" NA NA 0 NA NA NA NA NA 0 NA 0 0
"505" NA NA NA NA 0 0 0 NA 0 0 NA NA
"526" NA 0 0 NA 0 0 0 NA 0 0 0 NA
"547" NA NA NA 0 0 NA NA NA 0 NA NA NA
"548" NA NA 0 0 0 0 0 NA 0 NA NA NA
"549" NA NA NA NA NA 0 NA NA NA NA NA NA
"569" NA NA NA 0 0 0 0 0 0 0 0 NA
"570" NA NA NA 0 0 0 0 0 0 NA 0 NA
"571" NA NA NA 0 NA 0 0 0 NA 0 0 NA
"591" NA NA 0 0 0 0 NA 0 0 0 0 NA
"592" NA 0 0 0 0 0 0 0 0 0 0 0
"611" NA NA NA NA NA NA NA NA 0 NA 0 NA
"612" NA NA 0 0 0 0 NA 0 NA 0 0 0
"613" NA NA NA 0 0 NA NA 0 0 0 NA NA
"632" NA 0 0 0 0 NA 0 0 0 0 0 0
"633" NA NA NA 0 0 NA 0 NA NA NA 0 NA
"651" 0 0 0 0 0 NA 0 0 NA 0 NA NA
"652" NA NA 0 0 NA NA NA NA 0 NA NA NA
"668" NA NA NA NA NA NA NA NA 0 NA NA NA
"670" NA NA NA 0 NA NA NA NA NA NA NA NA
"671" NA NA 0 0 NA 0 NA NA NA 0 NA NA
"685" NA NA NA 0 NA 0 0 0 0 NA 0 0
"687" NA NA 0 0 0 0 0 NA NA 0 0 NA
"698" 0 NA NA NA NA 0 0 NA 0 0 NA 0
"699" NA 0 0 0 0 NA 0 0 NA 0 0 0
"709" NA NA NA 0 NA NA 0 0 NA 0 NA NA
"710" 0 0 0 0 0 0 NA 0 0 NA NA 0
"711" NA NA NA NA NA NA 0 NA NA NA NA NA
"720" 0 NA 0 0 0 NA 0 NA 0 0 0 0
"721" 0 0 0 0 0 0 NA 0 0 NA 0 0
"722" NA NA 0 NA NA NA NA NA NA NA NA NA
"732" 0 0 NA 0 0 NA NA 0 0 0 0 0
"733" NA 0 0 0 0 0 0 NA 0 NA 0 NA
