"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"99" NA NA NA 0 0 0 0 0 0 0 0 NA
"111" 0 0 0 0 0 0 0 0 0 0 0 0
"123" 0 0 0 0 0 0 0 0 0 0 0 0
"137" NA 0 0 0 0 NA NA NA 0 0 0 NA
"138" 0 0 0 0 0 0 0 NA 0 0 0 0
"140" 0 0 0 0 0 0 0 0 0 0 0 0
"154" 0 0 0 0 0 0 0 0 0 0 0 0
"155" 0 0 0 0 0 0 0 0 0 0 0 0
"156" NA 0 0 0 0 NA NA NA 0 NA 0 NA
"158" 0 0 0 0 0 0 0 0 0 0 0 0
"172" NA NA 0 0 0 0 NA NA 0 0 0 0
"173" 0 0 0 0 0 0 0 0 0 0 0 0
"174" 0 0 0 0 0 0 NA 0 0 0 0 0
"175" 0 0 0 0 0 0 0 0 0 0 0 0
"176" 0 0 0 0 0 0 0 0 0 0 0 0
"179" 0 0 0 0 0 0 0 0 0 0 0 0
"180" NA 0 NA 0 0 0 0 0 0 0 0 0
"193" 0 0 0 0 0 0 0 0 0 0 0 0
"194" 0 0 0 0 0 0 0 0 0 0 0 0
"195" 0 0 0 0 0 0 0 0 0 0 0 0
"196" NA NA NA 0 0 0 0 NA 0 0 0 0
"198" NA NA NA NA NA 0 NA NA NA NA NA NA
"200" 0 0 0 0 0 0 0 0 0 0 0 0
"201" 0 0 0 0 0 0 0 0 0 0 0 0
"216" 0 0 0 0 0 0 0 0 0 0 0 0
"217" 0 0 0 0 0 0 0 0 0 0 0 0
"218" NA NA NA 0 0 0 NA NA 0 0 0 NA
"219" NA NA NA NA NA NA NA NA 0 NA NA NA
"224" 0 0 0 0 0 0 0 0 0 0 0 0
"225" 0 NA 0 0 0 0 0 0 0 0 0 0
"226" 0 0 0 0 0 0 0 0 0 0 0 0
"239" 0 0 0 0 0 0 0 0 0 0 0 0
"240" NA NA NA 0 NA 0 NA NA 0 0 0 NA
"247" 0 0 0 0 0 0 0 0 0 0 0 0
"248" 0 0 0 0 0 0 0 0 0 0 0 0
"250" 0 0 0 0 0 0 0 0 0 0 0 NA
"263" NA NA NA NA NA NA NA NA 0 0 0 0
"264" NA NA NA 0 0 NA 0 NA 0 0 0 NA
"272" 0 0 0 0 0 0 0 0 0 0 0 0
"273" 0 0 0 0 0 0 0 0 0 0 0 0
"274" 0 0 0 0 0 0 0 0 0 0 0 0
"275" 0 0 0 0 0 0 0 0 0 0 0 0
"297" 0 0 0 0 0 0 0 0 0 0 0 0
