"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"5133" NA NA NA NA NA NA NA 0 0 NA 0 NA
"5146" NA NA NA NA NA NA NA 0 NA NA NA NA
"5159" NA NA NA NA NA NA NA NA NA 0 NA NA
"5166" NA NA NA NA 1 1 0 1 1 0 1 NA
"5175" NA NA NA 0 NA NA 0 0 NA 0 NA NA
"5177" NA NA NA NA NA NA 0 NA NA NA NA NA
"5178" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5184" NA NA NA NA NA NA 0 NA NA NA NA NA
"5193" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5194" NA NA 0 NA 0 NA NA NA NA 0 NA NA
"5195" NA NA 0 NA NA NA NA NA NA NA NA NA
"5197" NA NA NA NA NA NA 0 NA NA NA NA NA
"5198" NA NA NA 0 NA NA NA NA NA 0 NA NA
"5199" NA NA NA NA NA NA 0 NA NA NA NA NA
"5206" NA NA NA NA 0 NA NA NA NA NA NA NA
"5217" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5221" NA NA NA 0 NA NA NA NA NA NA NA NA
"5222" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5223" NA NA NA NA NA NA 0 NA NA NA NA NA
"5238" NA 0 NA 0 NA NA 0 NA NA 0 NA NA
"5239" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5243" NA NA NA NA NA NA NA NA NA NA NA 0
"5244" NA 0 NA NA NA NA NA NA NA NA NA NA
"5245" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5246" NA NA NA 0 NA NA NA NA NA 0 NA NA
"5247" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"5263" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5264" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5268" NA NA NA NA NA NA NA NA NA NA NA 0
"5270" NA 0 0 NA NA NA NA NA NA NA NA 0
"5272" NA NA NA 0 0 NA NA NA NA NA NA NA
"5273" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5280" NA NA NA NA NA 0 0 NA 0 NA NA NA
"5287" NA NA NA NA NA NA 0 NA NA NA NA NA
"5288" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5294" NA NA NA NA NA NA NA NA NA NA NA 0
"5295" NA NA 0 NA NA NA NA NA NA NA NA NA
"5296" NA 0 NA NA NA NA NA NA NA NA NA NA
"5299" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5313" NA NA NA 0 NA NA NA NA NA NA NA NA
"5314" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5320" NA NA NA NA NA NA NA NA NA NA NA 0
"5321" NA NA NA NA NA NA NA NA NA NA NA 0
"5323" NA 0 NA NA NA NA NA NA NA NA NA NA
"5324" NA 0 NA NA NA NA NA NA NA NA NA NA
"5326" NA NA NA 0 NA NA 0 0 NA 0 NA NA
"5327" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5332" NA NA NA NA NA 0 0 NA 0 NA NA NA
"5339" NA NA NA 0 NA NA NA NA NA 0 NA NA
