"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"321" 0 0 0 0 0 0 0 0 0 0 0 0
"380" 0 0 0 0 0 0 0 0 0 0 0 0
"413" 0 0 0 0 0 0 0 0 0 0 0 0
"435" 0 0 0 0 0 0 0 0 0 0 0 0
"436" 0 0 0 0 0 0 0 0 0 0 0 0
"645" 0 0 0 0 0 0 0 0 0 0 0 0
"665" 0 0 0 0 0 0 0 0 0 0 0 0
"682" 0 0 0 0 0 0 0 0 0 0 0 0
"709" 0 0 0 0 0 0 0 0 0 0 0 0
"715" 0 0 0 0 0 0 0 0 0 0 0 0
"720" 0 0 0 0 0 0 0 0 0 0 0 0
"737" 0 0 0 0 0 0 0 0 0 0 0 0
"738" 0 0 0 0 0 0 0 0 0 0 0 0
"752" 0 0 0 0 0 0 0 0 0 0 0 0
"762" 0 0 0 0 0 0 0 0 0 0 0 0
"777" 0 0 0 0 0 0 0 0 0 0 0 0
"952" 0 0 0 0 0 0 0 0 0 0 0 0
"962" 0 0 0 0 0 0 0 0 0 0 0 0
"973" 0 0 0 0 0 0 0 0 0 0 0 0
"984" 0 0 0 0 0 0 0 0 0 0 0 0
"997" 0 0 0 0 0 0 0 0 0 0 0 0
"1010" 0 0 0 0 0 0 0 0 0 0 0 0
"1012" 0 0 0 0 0 0 0 0 0 0 0 0
"1025" 0 0 0 0 0 0 0 0 0 0 0 0
"1026" 0 0 0 0 0 0 0 0 0 0 0 0
"1027" 0 0 0 0 0 0 0 0 0 0 0 0
"1038" 0 0 0 0 0 0 0 0 0 0 0 0
"1039" 0 0 0 0 0 0 0 0 0 0 0 0
"1053" 0 0 0 0 0 0 0 0 0 0 0 0
"1054" 0 0 0 0 0 0 0 0 0 0 0 0
"1055" 0 0 0 0 0 0 0 0 0 0 0 0
"1067" 0 0 0 0 0 0 0 0 0 0 0 0
"1070" 0 0 0 0 0 0 0 0 0 0 0 0
"1082" 0 0 0 0 0 0 0 0 0 0 0 0
"1083" 0 0 0 0 0 0 0 0 0 0 0 0
"1084" 0 0 0 0 0 0 0 0 0 0 0 0
"1099" 0 0 0 0 0 0 0 0 0 0 0 0
"1259" 0 0 0 0 0 0 0 0 0 0 0 0
"1333" 0 0 0 0 0 0 0 0 0 0 0 0
"2361" 0 0 0 0 0 0 0 0 0 0 0 0
"2455" 0 0 0 0 0 0 0 0 0 0 0 0
"2500" 0 0 0 0 0 0 0 0 0 0 0 0
"2616" 0 0 0 0 0 0 0 0 0 0 0 0
"2632" 0 0 0 0 0 0 0 0 0 0 0 0
"2641" 0 0 0 0 0 0 0 0 0 0 0 0
"2648" 0 0 0 0 0 0 0 0 0 0 0 0
"2658" 0 0 0 0 0 0 0 0 0 0 0 0
"2667" 0 0 0 0 0 0 0 0 0 0 0 0
"2670" 0 0 0 0 0 0 0 0 0 0 0 0
"2717" 0 0 0 0 0 0 0 0 0 0 0 0
"2782" 0 0 0 0 0 0 0 0 0 0 0 0
"2795" 0 0 0 0 0 0 0 0 0 0 0 0
"2801" 0 0 0 0 0 0 0 0 0 0 0 0
"2802" NA NA NA NA NA NA NA NA NA NA NA NA
"2809" 0 0 0 0 0 0 0 0 0 0 0 0
"2817" NA NA NA NA NA NA NA NA NA NA NA NA
"2825" NA NA NA NA NA NA NA NA NA NA NA NA
"2833" NA NA NA NA NA NA NA NA NA NA NA NA
"2893" NA NA NA NA NA NA NA NA NA NA NA NA
"3025" NA NA NA NA NA NA NA NA NA NA NA NA
"3058" 0 0 0 0 0 0 0 0 0 0 0 0
"3086" 0 0 0 0 0 0 0 0 0 0 0 0
"3100" 0 0 0 0 0 0 0 0 0 0 0 0
"3114" 0 0 0 0 0 0 0 0 0 0 0 0
"3115" 0 0 0 0 0 0 0 0 0 0 0 0
"3463" 0 0 0 0 0 0 0 0 0 0 0 0
"3492" 0 0 0 0 0 0 0 0 0 0 0 0
"4131" 0 0 0 0 0 0 0 0 0 0 0 0
"4166" 0 0 0 0 0 0 0 0 0 0 0 0
"4203" 0 0 0 0 0 0 0 0 0 0 0 0
"4233" 0 0 0 0 0 0 0 0 0 0 0 0
"4271" 0 0 0 0 0 0 0 0 0 0 0 0
"4303" 0 0 0 0 0 0 0 0 0 0 0 0
"4336" 0 0 0 0 0 0 0 0 0 0 0 0
"4338" 0 0 0 0 0 0 0 0 0 0 0 0
"4351" NA NA NA NA NA NA NA NA NA NA NA NA
"4370" 0 0 0 0 0 0 0 0 0 0 0 0
"4372" 0 0 0 0 0 0 0 0 0 0 0 0
"4374" 0 0 0 0 0 0 0 0 0 0 0 0
"4384" 0 0 0 0 0 0 0 0 0 0 0 0
"4385" NA NA NA NA NA NA NA NA NA NA NA NA
"4404" 0 0 0 0 0 0 0 0 0 0 0 0
"4405" 0 0 0 0 0 0 0 0 0 0 0 0
"4415" 0 0 0 0 0 0 0 0 0 0 0 0
"4419" NA NA NA NA NA NA NA NA NA NA NA NA
"4437" 0 0 0 0 0 0 0 0 0 0 0 0
"4452" NA NA NA NA NA NA NA NA NA NA NA NA
"4453" NA NA NA NA NA NA NA NA NA NA NA NA
"4468" 0 0 0 0 0 0 0 0 0 0 0 0
"4481" 0 0 0 0 0 0 0 0 0 0 0 0
"4485" NA NA NA NA NA NA NA NA NA NA NA NA
"4503" 0 0 0 0 0 0 0 0 0 0 0 0
"4504" 0 0 0 0 0 0 0 0 0 0 0 0
"4517" NA NA NA NA NA NA NA NA NA NA NA NA
"4548" NA NA NA NA NA NA NA NA NA NA NA NA
"4549" 0 0 0 0 0 0 0 0 0 0 0 0
"4581" 0 0 0 0 0 0 0 0 0 0 0 0
"4600" 0 0 0 0 0 0 0 0 0 0 0 0
"4601" 0 0 0 0 0 0 0 0 0 0 0 0
"4629" 0 0 0 0 0 0 0 0 0 0 0 0
"4631" 0 0 0 0 0 0 0 0 0 0 0 0
"4632" 0 0 0 0 0 0 0 0 0 0 0 0
"4661" 0 0 0 0 0 0 0 0 0 0 0 0
"4662" 0 0 0 0 0 0 0 0 0 0 0 0
"4663" 0 0 0 0 0 0 0 0 0 0 0 0
"4694" 0 0 0 0 0 0 0 0 0 0 0 0
"4695" 0 0 0 0 0 0 0 0 0 0 0 0
"4784" 0 0 0 0 0 0 0 0 0 0 0 0
"4853" 0 0 0 0 0 0 0 0 0 0 0 0
"4854" 0 0 0 0 0 0 0 0 0 0 0 0
"4860" NA NA NA NA NA NA NA NA NA NA NA NA
"4874" 0 0 0 0 0 0 0 0 0 0 0 0
"4881" 0 0 0 0 0 0 0 0 0 0 0 0
"4894" 0 0 0 0 0 0 0 0 0 0 0 0
"4899" 0 0 0 0 0 0 0 0 0 0 0 0
"4912" 0 0 0 0 0 0 0 0 0 0 0 0
"4913" 0 0 0 0 0 0 0 0 0 0 0 0
"4918" 0 0 0 0 0 0 0 0 0 0 0 0
"4932" 0 0 0 0 0 0 0 0 0 0 0 0
"4935" 0 0 0 0 0 0 0 0 0 0 0 0
"4936" NA NA NA NA NA NA NA NA NA NA NA NA
"4950" 0 0 0 0 0 0 0 0 0 0 0 0
"4953" NA NA NA NA NA NA NA NA NA NA NA NA
"4954" 0 0 0 0 0 0 0 0 0 0 0 0
"4955" NA NA NA NA NA NA NA NA NA NA NA NA
"4968" 0 0 0 0 0 0 0 0 0 0 0 0
"4971" 0 0 0 0 0 0 0 0 0 0 0 0
"4973" 0 0 0 0 0 0 0 0 0 0 0 0
"4975" 0 0 0 0 0 0 0 0 0 0 0 0
"4984" 0 0 0 0 0 0 0 0 0 0 0 0
"4986" 0 0 0 0 0 0 0 0 0 0 0 0
"4989" 0 0 0 0 0 0 0 0 0 0 0 0
"4990" 0 0 0 0 0 0 0 0 0 0 0 0
"5006" 0 0 0 0 0 0 0 0 0 0 0 0
"5007" 0 0 0 0 0 0 0 0 0 0 0 0
"5009" 0 0 0 0 0 0 0 0 0 0 0 0
"5023" 0 0 0 0 0 0 0 0 0 0 0 0
"5024" 0 0 0 0 0 0 0 0 0 0 0 0
"5039" 0 0 0 0 0 0 0 0 0 0 0 0
"5040" 0 0 0 0 0 0 0 0 0 0 0 0
"5042" 0 0 0 0 0 0 0 0 0 0 0 0
"5056" 0 0 0 0 0 0 0 0 0 0 0 0
"5071" 0 0 0 0 0 0 0 0 0 0 0 0
"5072" 0 0 0 0 0 0 0 0 0 0 0 0
"5074" 0 0 0 0 0 0 0 0 0 0 0 0
"5085" 0 0 0 0 0 0 0 0 0 0 0 0
"5095" 0 0 0 0 0 0 0 0 0 0 0 0
"5104" 0 0 0 0 0 0 0 0 0 0 0 0
"5108" 0 0 0 0 0 0 0 0 0 0 0 0
"5109" 0 0 0 0 0 0 0 0 0 0 0 0
"5117" 0 0 0 0 0 0 0 0 0 0 0 0
"5119" 0 0 0 0 0 0 0 0 0 0 0 0
"5120" 0 0 0 0 0 0 0 0 0 0 0 0
"5121" 0 0 0 0 0 0 0 0 0 0 0 0
"5128" 0 0 0 0 0 0 0 0 0 0 0 0
"5133" 0 0 0 0 0 0 0 0 0 0 0 0
"5143" 0 0 0 0 0 0 0 0 0 0 0 0
"5144" 0 0 0 0 0 0 0 0 0 0 0 0
"5149" 0 0 0 0 0 0 0 0 0 0 0 0
"5159" 0 0 0 0 0 0 0 0 0 0 0 0
"5163" NA NA NA NA NA NA NA NA NA NA NA NA
"5166" 0 0 0 0 0 0 0 0 0 0 0 0
"5174" 0 0 0 0 0 0 0 0 0 0 0 0
"5176" 0 0 0 0 0 0 0 0 0 0 0 0
"5180" 0 0 0 0 0 0 0 0 0 0 0 0
"5181" 0 0 0 0 0 0 0 0 0 0 0 0
"5184" 0 0 0 0 0 0 0 0 0 0 0 0
"5185" 0 0 0 0 0 0 0 0 0 0 0 0
"5195" 0 0 0 0 0 0 0 0 0 0 0 0
"5201" 0 0 0 0 0 0 0 0 0 0 0 0
"5214" 0 0 0 0 0 0 0 0 0 0 0 0
"5215" 0 0 0 0 0 0 0 0 0 0 0 0
"5222" 0 0 0 0 0 0 0 0 0 0 0 0
"5223" 0 0 0 0 0 0 0 0 0 0 0 0
"5224" 0 0 0 0 0 0 0 0 0 0 0 0
"5225" 0 0 0 0 0 0 0 0 0 0 0 0
"5230" 0 0 0 0 0 0 0 0 0 0 0 0
"5239" 0 0 0 0 0 0 0 0 0 0 0 0
"5242" 0 0 0 0 0 0 0 0 0 0 0 0
"5246" 0 0 0 0 0 0 0 0 0 0 0 0
"5247" 0 0 0 0 0 0 0 0 0 0 0 0
"5248" 0 0 0 0 0 0 0 0 0 0 0 0
"5255" 0 0 0 0 0 0 0 0 0 0 0 0
"5258" 0 0 0 0 0 0 0 0 0 0 0 0
"5263" 0 0 0 0 0 0 0 0 0 0 0 0
"5271" 0 0 0 0 0 0 0 0 0 0 0 0
"5272" 0 0 0 0 0 0 0 0 0 0 0 0
"5280" 0 0 0 0 0 0 0 0 0 0 0 0
"5284" 0 0 0 0 0 0 0 0 0 0 0 0
"5288" 0 0 0 0 0 0 0 0 0 0 0 0
"5289" 0 0 0 0 0 0 0 0 0 0 0 0
"5290" 0 0 0 0 0 0 0 0 0 0 0 0
"5293" 0 0 0 0 0 0 0 0 0 0 0 0
"5297" 0 0 0 0 0 0 0 0 0 0 0 0
"5302" 0 0 0 0 0 0 0 0 0 0 0 0
"5305" NA NA NA NA NA NA NA NA NA NA NA NA
"5307" 0 0 0 0 0 0 0 0 0 0 0 0
"5311" 0 0 0 0 0 0 0 0 0 0 0 0
"5316" 0 0 0 0 0 0 0 0 0 0 0 0
"5323" 0 0 0 0 0 0 0 0 0 0 0 0
"5329" 0 0 0 0 0 0 0 0 0 0 0 0
"5332" 0 0 0 0 0 0 0 0 0 0 0 0
"5343" 0 0 0 0 0 0 0 0 0 0 0 0
"5346" 0 0 0 0 0 0 0 0 0 0 0 0
"5350" 0 0 0 0 0 0 0 0 0 0 0 0
"5355" 0 0 0 0 0 0 0 0 0 0 0 0
"5368" 0 0 0 0 0 0 0 0 0 0 0 0
"5369" 0 0 0 0 0 0 0 0 0 0 0 0
"5375" 0 0 0 0 0 0 0 0 0 0 0 0
"5381" 0 0 0 0 0 0 0 0 0 0 0 0
"5384" 0 0 0 0 0 0 0 0 0 0 0 0
"5393" 0 0 0 0 0 0 0 0 0 0 0 0
"5394" 0 0 0 0 0 0 0 0 0 0 0 0
"5407" 0 0 0 0 0 0 0 0 0 0 0 0
"5411" NA NA NA NA NA NA NA NA NA NA NA NA
"5414" 0 0 0 0 0 0 0 0 0 0 0 0
"5416" 0 0 0 0 0 0 0 0 0 0 0 0
"5428" 0 0 0 0 0 0 0 0 0 0 0 0
"5431" 0 0 0 0 0 0 0 0 0 0 0 0
"5433" 0 0 0 0 0 0 0 0 0 0 0 0
"5449" 0 0 0 0 0 0 0 0 0 0 0 0
"5458" 0 0 0 0 0 0 0 0 0 0 0 0
"5461" 0 0 0 0 0 0 0 0 0 0 0 0
"5472" 0 0 0 0 0 0 0 0 0 0 0 0
"5473" 0 0 0 0 0 0 0 0 0 0 0 0
"5480" 0 0 0 0 0 0 0 0 0 0 0 0
"5493" 0 0 0 0 0 0 0 0 0 0 0 0
"5498" NA NA NA NA NA NA NA NA NA NA NA NA
"5499" 0 0 0 0 0 0 0 0 0 0 0 0
"5501" 0 0 0 0 0 0 0 0 0 0 0 0
"5502" NA NA NA NA NA NA NA NA NA NA NA NA
"5503" 0 0 0 0 0 0 0 0 0 0 0 0
"5504" 0 0 0 0 0 0 0 0 0 0 0 0
"5505" 0 0 0 0 0 0 0 0 0 0 0 0
"5528" 0 0 0 0 0 0 0 0 0 0 0 0
"5533" 0 0 0 0 0 0 0 0 0 0 0 0
"5538" 0 0 0 0 0 0 0 0 0 0 0 0
