"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"99" NA NA NA 0 0 0 0 0 0 0 NA 0
"111" 0 0 0 0 0 0 0 0 0 0 0 0
"123" NA 0 0 0 0 0 0 0 0 0 0 0
"137" NA NA NA 0 0 NA NA NA 0 0 0 NA
"138" 0 0 0 0 0 0 0 0 0 0 0 0
"140" NA NA NA 0 NA 0 0 0 0 0 NA NA
"154" 0 0 0 0 0 0 0 0 0 0 0 0
"155" 0 0 0 0 0 0 0 0 0 0 0 0
"156" NA 0 0 0 0 0 NA NA 0 NA NA NA
"158" 0 0 0 0 0 0 0 0 0 0 0 0
"172" NA 0 0 0 0 0 0 0 0 0 0 NA
"173" 0 0 0 0 0 0 0 0 0 0 0 0
"174" 0 0 0 0 0 0 0 0 0 0 0 NA
"175" 0 NA 0 0 0 0 NA 0 0 0 0 NA
"176" 0 0 NA 0 0 0 0 0 0 0 0 0
"179" NA 0 NA NA 0 0 0 0 NA 0 0 0
"180" 0 0 0 0 0 0 NA 0 0 0 0 0
"193" 0 0 0 0 0 0 NA 0 0 0 0 0
"194" 0 0 0 0 0 0 0 0 0 0 0 0
"195" 0 0 0 0 0 0 0 0 0 0 0 0
"196" NA NA NA 0 0 NA NA NA 0 0 0 0
"200" 0 NA 0 0 0 0 0 0 0 0 0 0
"201" 0 0 0 0 0 0 0 0 0 0 0 0
"216" 0 0 0 0 0 0 0 0 0 0 0 0
"217" NA 0 0 0 0 0 NA NA 0 0 0 0
"218" NA NA NA NA 0 NA NA NA NA 0 0 NA
"224" 0 NA NA 0 0 0 NA NA 0 0 0 NA
"225" NA 0 0 0 0 0 0 0 0 0 0 0
"226" 0 0 0 0 0 0 0 0 0 0 0 0
"239" 0 0 0 0 0 0 0 0 0 0 0 0
"240" NA NA NA 0 NA 0 NA NA 0 0 0 NA
"247" 0 0 0 0 0 0 0 0 0 0 0 0
"248" 0 0 0 0 0 0 0 0 0 0 0 NA
"250" 0 0 0 0 0 0 0 0 0 0 0 NA
"263" NA NA NA NA NA 0 NA NA NA NA 0 NA
"264" 0 NA 0 NA 0 0 0 0 0 0 0 NA
"272" NA 0 NA 0 0 0 0 0 0 0 0 NA
"273" 0 0 0 0 0 0 0 NA 0 0 0 0
"274" NA NA NA 0 0 0 NA 0 0 0 0 0
"275" 0 0 0 0 0 0 0 0 0 0 0 0
"297" NA NA 0 0 0 NA 0 NA 0 0 0 0
"298" 0 0 0 0 0 0 0 0 0 0 0 0
"299" 0 0 0 0 0 0 0 0 0 0 0 0
"321" 0 0 0 0 0 0 NA 0 NA 0 0 0
"322" 0 0 0 0 0 0 0 0 0 0 0 0
"323" 0 0 0 0 0 0 0 0 0 0 0 0
"344" 0 0 0 0 0 0 0 0 0 0 0 0
"345" 0 NA 0 0 0 0 0 0 0 0 0 0
"346" NA NA NA NA 0 NA NA 0 0 0 0 NA
"367" 0 0 0 0 0 0 0 0 0 0 0 NA
"368" 0 0 0 0 0 0 0 NA 0 0 0 0
"369" NA NA NA 0 0 0 0 NA 0 NA NA 0
"391" 0 0 0 0 0 0 0 0 0 0 0 0
"392" 0 0 0 0 0 0 NA 0 0 0 0 NA
"393" 0 0 0 0 0 0 0 0 0 0 0 0
"414" 0 0 0 0 0 0 0 0 0 0 0 0
"415" 0 0 0 0 0 0 0 0 0 0 0 0
"416" NA NA NA 0 0 0 NA NA NA 0 NA NA
"436" NA NA NA 0 NA 0 NA NA NA NA NA 0
"437" 0 0 0 0 0 0 0 0 0 0 0 0
"438" 0 0 0 0 0 0 0 0 0 0 0 0
"459" NA NA 0 0 0 0 NA 0 0 0 NA 0
"460" 0 0 0 0 0 0 0 0 0 0 0 0
"461" 0 0 0 0 0 0 0 0 0 0 0 0
"482" 0 0 0 0 0 0 0 0 0 0 0 0
"483" 0 0 0 0 0 0 0 0 0 0 0 0
"504" 0 0 0 0 0 0 0 0 0 0 0 0
"505" 0 0 0 0 0 0 0 0 0 0 0 0
"526" 0 0 0 0 0 0 0 0 0 0 0 0
"527" NA NA NA 0 0 NA NA NA NA 0 NA NA
"547" 0 0 0 0 0 0 NA NA 0 0 0 0
"548" 0 0 0 0 0 0 0 0 0 0 0 0
"549" 0 0 0 0 0 0 0 0 0 0 0 NA
"569" 0 0 0 0 0 0 0 0 0 0 0 0
"570" 0 0 0 0 0 0 0 0 0 0 0 0
"571" 0 0 0 NA 0 0 0 0 0 0 0 0
"591" 0 0 0 0 0 0 0 0 0 0 0 0
"592" 0 0 0 0 0 0 0 0 0 0 0 0
"611" NA NA 0 0 0 0 0 NA 0 0 NA 0
"612" 0 0 0 0 0 0 0 0 0 0 0 0
"613" 0 0 0 NA 0 0 0 0 0 0 0 0
"632" 0 0 0 0 0 0 0 0 0 0 0 0
"633" 0 NA 0 0 0 0 NA 0 0 0 0 0
"651" 0 0 0 0 0 0 0 0 0 0 0 0
"652" NA NA NA 0 0 0 0 NA 0 0 0 NA
"668" NA NA NA 0 0 NA NA NA 0 0 NA NA
"669" NA NA NA NA NA 0 NA NA NA NA 0 NA
"670" NA NA 0 0 0 0 NA 0 0 0 0 0
"671" 0 0 0 0 0 0 0 0 0 0 0 0
"685" 0 0 0 0 0 0 0 0 0 0 0 0
"686" NA NA NA 0 0 NA NA NA 0 0 0 NA
"687" 0 0 0 0 0 0 0 0 0 0 0 0
"698" 0 NA 0 0 0 0 0 NA 0 0 0 NA
"699" NA 0 0 0 0 0 0 0 0 0 0 0
"700" NA NA NA NA 0 NA NA NA NA NA NA NA
"709" 0 0 NA 0 0 NA 0 0 0 0 0 NA
"710" 0 0 0 0 0 0 0 0 0 0 0 0
"711" NA NA 0 NA NA 0 0 0 0 0 0 NA
"720" 0 0 0 0 0 0 0 0 0 0 0 0
"721" 0 0 0 0 0 0 0 0 0 0 0 0
"722" 0 0 0 0 0 0 0 0 NA 0 0 0
"732" 0 0 0 0 0 0 0 0 0 0 0 0
"733" NA NA 0 0 0 0 0 0 0 0 0 0
"742" NA 0 0 0 0 0 0 0 0 0 NA 0
"743" 0 0 0 0 0 0 0 0 0 0 0 0
"752" 0 0 0 0 0 0 0 0 0 0 0 0
"753" 0 0 NA 0 0 0 0 0 0 0 0 0
"762" 0 0 0 0 0 0 0 0 0 0 0 NA
"763" NA NA NA NA 0 NA NA NA NA 0 NA NA
"772" NA NA 0 0 0 0 0 0 0 0 NA 0
"773" NA NA 0 0 0 0 NA 0 0 0 0 0
"782" 0 0 0 0 0 0 0 0 0 0 0 0
"783" NA NA NA NA NA 0 NA NA 0 NA NA NA
"792" 0 NA 0 0 0 0 0 NA 0 0 NA 0
"801" 0 0 0 0 0 0 0 0 0 0 NA 0
"810" 0 NA 0 0 0 0 NA 0 0 0 0 NA
"818" 0 0 NA 0 0 0 0 0 0 0 0 0
"826" 0 0 0 0 0 0 0 0 0 0 0 0
"834" 0 0 0 0 0 0 NA 0 0 0 0 0
"842" 0 0 0 0 0 0 0 0 0 0 0 0
"858" NA 0 NA 0 0 0 NA NA 0 NA 0 NA
"875" NA NA NA NA NA 0 NA NA NA NA NA NA
"1303" 0 NA NA 0 0 NA 0 0 0 0 0 0
"1319" 0 0 0 0 0 0 0 0 0 0 0 0
"1335" NA NA NA 0 0 NA 0 NA NA NA NA 0
"1336" 0 0 0 0 0 0 0 0 0 0 0 0
"1352" 0 0 0 0 0 0 0 0 0 0 0 0
"1353" 0 0 NA 0 0 0 0 0 0 0 0 0
"1368" 0 0 0 0 0 0 0 0 0 0 0 0
"1756" NA 0 NA NA NA NA NA NA NA NA NA NA
"1983" NA NA NA NA 0 NA NA NA NA NA NA NA
"2008" 0 0 NA 0 0 0 NA 0 NA 0 NA NA
"2616" 0 0 0 0 0 NA NA NA 0 0 0 0
"2632" 0 0 NA NA NA NA NA NA NA NA NA NA
