"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"62" NA 0 NA NA NA NA NA NA NA NA NA NA
"220" NA NA NA NA NA NA NA 0 NA NA NA NA
"222" NA NA NA NA NA NA NA NA NA 0 NA NA
"239" NA NA NA NA NA NA NA NA NA NA NA 0
"246" NA NA NA NA NA NA NA NA NA 0 NA NA
"291" NA NA NA NA NA NA NA NA NA 0 NA NA
"293" NA NA NA NA NA NA NA NA NA 0 NA NA
"316" NA NA NA NA NA NA NA 0 NA NA NA NA
"318" NA NA NA NA NA NA NA 0 NA NA NA NA
"407" NA NA NA NA NA NA NA NA NA 0 NA NA
"413" NA NA NA NA NA NA NA NA NA 0 NA NA
"470" NA NA NA NA NA NA NA NA NA 0 NA NA
"472" NA NA NA NA NA NA NA NA NA 0 NA NA
"501" NA NA NA NA NA NA NA 0 NA NA NA NA
"503" NA NA NA NA NA NA NA NA NA 0 NA NA
"530" 0 0 NA NA NA NA NA NA NA NA NA NA
"558" 0 0 NA NA NA NA NA NA NA NA NA NA
"627" 0 0 NA NA 0 NA NA NA NA NA NA NA
"628" NA NA NA NA NA NA NA NA NA 0 NA NA
"632" NA NA NA NA NA NA NA 0 NA NA NA NA
"646" NA NA NA NA NA NA NA 0 NA NA NA NA
"683" NA NA NA NA NA NA NA 0 0 NA NA NA
"687" NA NA NA NA NA 0 NA NA NA NA NA NA
"699" NA NA NA NA 0 NA NA NA NA NA NA NA
"710" NA NA NA NA 0 NA 0 NA NA NA NA NA
"720" NA NA NA NA 0 0 NA NA NA NA NA NA
"721" NA NA NA NA 0 NA NA NA NA NA NA NA
"731" NA NA NA NA NA 0 NA NA NA NA NA NA
"732" NA NA NA NA 0 0 0 NA NA NA NA NA
"741" NA NA NA NA NA NA NA 0 NA NA NA NA
"742" NA NA NA NA 0 0 0 NA NA 0 NA NA
"743" NA NA NA NA NA 0 0 NA NA NA NA NA
"749" NA NA NA NA NA NA NA 0 NA 0 NA NA
"751" NA NA NA NA NA NA NA NA NA 0 NA NA
"752" NA NA NA NA NA 0 NA 0 NA NA NA NA
"760" NA NA 0 NA NA NA NA NA NA NA NA NA
"761" NA NA NA NA NA 0 NA NA NA NA NA NA
"762" NA NA NA NA 0 NA NA NA NA NA NA NA
"770" NA NA 0 NA NA NA NA NA NA NA NA NA
"772" NA NA NA NA 0 0 0 NA NA NA NA NA
"782" NA NA NA NA NA 0 NA NA NA NA NA NA
"790" NA NA 0 NA NA 0 0 NA NA NA NA NA
"791" NA NA NA NA NA 0 NA NA NA NA NA NA
"792" NA NA NA NA NA 0 NA NA NA 0 NA NA
"800" NA NA NA NA 0 0 NA NA NA NA NA NA
