"NLists" "NSppDetec"
"99" 29 2
"111" 46 2
"123" 80 2
"137" 7 1
"138" 52 2
"140" 11 2
"154" 96 2
"155" 140 2
"156" 10 2
"158" 76 2
"172" 30 2
"173" 71 2
"174" 70 2
"175" 44 2
"176" 57 2
"179" 23 2
"180" 41 2
"193" 81 2
"194" 78 2
"195" 57 2
"196" 10 2
"200" 67 2
"201" 50 2
"216" 75 2
"217" 20 2
"218" 3 1
"224" 20 2
"225" 50 2
"226" 228 2
"239" 61 2
"240" 12 1
"247" 40 2
"248" 36 2
"250" 37 2
"263" 4 2
"264" 17 1
"272" 61 2
"273" 58 2
"274" 35 2
"275" 205 2
"297" 37 2
"298" 69 2
"299" 98 2
"321" 51 2
"322" 107 2
"323" 157 2
"344" 46 2
"345" 114 2
"346" 5 1
"367" 94 2
"368" 72 2
"369" 7 2
"391" 191 2
"392" 20 2
"393" 194 2
"414" 204 2
"415" 75 2
"416" 12 2
"436" 4 1
"437" 133 2
"438" 229 2
"459" 18 2
"460" 166 2
"461" 93 2
"482" 84 2
"483" 172 2
"504" 94 2
"505" 65 2
"526" 193 2
"527" 5 2
"547" 32 2
"548" 78 2
"549" 38 2
"569" 128 2
"570" 115 2
"571" 56 2
"591" 202 2
"592" 351 2
"611" 21 2
"612" 217 2
"613" 40 2
"632" 84 2
"633" 47 2
"651" 82 2
"652" 25 2
"668" 8 2
"669" 2 1
"670" 28 2
"671" 65 2
"685" 78 2
"686" 7 2
"687" 78 2
"698" 54 2
"699" 89 2
"700" 1 1
"709" 44 2
"710" 51 2
"711" 16 2
"720" 61 2
"721" 100 2
"722" 39 2
"732" 41 1
"733" 45 2
"742" 24 2
"743" 69 2
"752" 57 2
"753" 69 2
"762" 66 2
"763" 3 2
"772" 35 2
"773" 22 2
"782" 82 2
"783" 2 2
"792" 49 2
"801" 66 2
"810" 19 2
"818" 41 2
"826" 141 2
"834" 31 2
"842" 143 2
"858" 26 2
"875" 2 1
"1303" 21 2
"1319" 161 2
"1335" 8 2
"1336" 104 2
"1352" 118 2
"1353" 73 2
"1368" 79 2
"1756" 1 1
"1983" 2 2
"2008" 29 2
"2616" 112 1
"2632" 3 1
"2633" 5 1
"2641" 232 1
"2648" 4 1
"2657" 1 1
"2659" 347 2
"2660" 440 1
"2667" 33 1
"2669" 38 1
"2670" 123 2
"2679" 88 1
"2680" 285 2
"2699" 46 2
"2708" 383 2
"2709" 626 2
"2724" 1239 2
"2738" 6 1
"2746" 275 2
"2760" 446 2
"2768" 779 2
"3092" 1 1
"5159" 10 1
"5175" 8 1
"5177" 7 1
"5178" 14 1
"5193" 3 1
"5194" 9 1
"5197" 8 1
"5198" 9 1
"5199" 4 1
"5217" 4 1
"5221" 2 1
"5222" 8 1
"5223" 5 1
"5238" 18 1
"5239" 5 1
"5245" 1 1
"5246" 2 1
"5247" 15 1
"5262" 1 1
"5263" 10 1
"5264" 6 2
"5272" 2 2
"5273" 8 1
"5287" 6 1
"5288" 14 2
"5299" 2 1
"5313" 13 1
"5314" 2 1
"5327" 2 1
