"NLists" "NSppDetec"
"99" 60 7
"111" 76 5
"123" 296 7
"137" 32 7
"138" 169 8
"140" 55 4
"154" 322 7
"155" 511 11
"156" 38 6
"158" 313 6
"172" 78 6
"173" 216 8
"174" 207 8
"175" 299 8
"176" 225 8
"179" 122 6
"180" 94 6
"193" 437 8
"194" 167 8
"195" 162 8
"196" 37 7
"198" 2 1
"200" 219 8
"201" 213 7
"216" 251 8
"217" 134 8
"218" 30 5
"219" 5 5
"224" 78 7
"225" 160 8
"226" 509 7
"239" 198 9
"240" 102 7
"247" 136 8
"248" 124 8
"250" 87 7
"263" 10 7
"264" 48 8
"272" 240 8
"273" 189 9
"274" 100 7
"275" 503 7
"297" 136 8
"298" 189 6
"299" 318 6
"321" 139 8
"322" 366 7
"323" 477 7
"344" 138 7
"345" 433 7
"346" 14 6
"367" 381 7
"368" 239 7
"369" 9 4
"391" 695 7
"392" 58 6
"393" 388 6
"408" 3 3
"414" 632 6
"415" 115 6
"416" 35 6
"436" 11 4
"437" 350 6
"438" 360 6
"459" 75 6
"460" 262 6
"461" 192 6
"482" 236 6
"483" 368 6
"504" 222 6
"505" 164 6
"526" 364 6
"527" 28 6
"538" 2 2
"547" 113 6
"548" 192 6
"549" 87 6
"557" 4 2
"569" 262 6
"570" 230 6
"571" 96 6
"586" 2 2
"591" 391 6
"592" 553 6
"602" 1 1
"611" 53 6
"612" 409 6
"613" 96 6
"618" 2 2
"632" 191 6
"633" 103 6
"639" 17 5
"649" 2 1
"651" 291 6
"652" 70 6
"655" 2 2
"658" 1 1
"668" 34 6
"669" 10 5
"670" 70 6
"671" 100 6
"685" 285 6
"686" 8 3
"687" 161 6
"698" 217 6
"699" 189 6
"700" 9 4
"709" 213 6
"710" 158 6
"711" 21 5
"720" 243 6
"721" 168 3
"722" 71 6
"732" 139 5
"733" 81 6
"734" 1 1
"742" 87 6
"743" 169 3
"752" 178 6
"753" 125 6
"762" 158 6
"763" 4 4
"772" 79 6
"773" 47 6
"782" 129 6
"783" 2 2
"792" 105 6
"801" 135 6
"802" 1 1
"810" 90 6
"818" 215 6
"826" 661 6
"834" 130 6
"842" 508 6
"844" 2 1
"858" 97 6
"912" 2 1
"943" 1 1
"987" 2 2
"1024" 2 1
"1072" 2 1
"1100" 2 2
"1104" 2 2
"1139" 3 2
"1179" 2 2
"1192" 1 1
"1234" 3 3
"1245" 3 3
"1247" 5 3
"1251" 1 1
"1262" 1 1
"1291" 3 3
"1303" 81 6
"1308" 3 3
"1318" 1 1
"1319" 483 7
"1322" 1 1
"1328" 1 1
"1335" 28 6
"1336" 357 7
"1337" 4 3
"1338" 3 3
"1339" 2 2
"1341" 3 3
"1352" 366 6
"1353" 188 8
"1368" 237 7
"1369" 1 1
