"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"11" NA NA NA NA NA NA NA 0 NA NA NA NA
"99" NA NA NA 0 0 0 NA NA 0 NA NA NA
"111" NA NA NA 0 NA NA NA NA NA NA NA NA
"123" NA NA 0 0 0 0 NA 0 0 0 NA 0
"137" NA NA 0 NA NA NA NA NA NA 0 NA NA
"138" NA 0 0 0 0 0 0 NA 0 0 NA NA
"140" NA NA NA NA NA NA NA 0 NA 0 NA NA
"154" 0 0 0 0 0 0 0 0 0 0 0 0
"155" 0 0 0 0 0 0 0 0 0 0 0 0
"156" NA NA 0 0 0 NA NA NA 0 NA NA NA
"158" NA 0 0 0 0 0 0 0 NA NA 0 0
"172" NA NA NA 0 0 NA NA NA 0 NA NA NA
"173" NA 0 NA NA 0 NA 0 NA 0 NA NA NA
"174" NA 0 0 0 0 0 0 0 0 0 0 NA
"175" 0 0 0 0 0 0 0 0 0 0 0 0
"176" NA NA NA 0 0 0 0 0 0 0 0 NA
"179" 0 NA NA NA 0 0 NA 0 0 0 0 0
"180" NA NA NA 0 NA NA NA NA NA 0 0 NA
"193" NA 0 0 0 0 0 0 0 0 0 0 0
"194" NA 0 NA NA 0 0 NA NA 0 0 NA NA
"195" NA NA NA 0 0 0 NA 0 0 0 0 NA
"196" NA NA NA NA NA NA NA NA 0 0 0 0
"200" NA NA 0 0 0 0 0 0 0 0 0 NA
"201" 0 0 0 0 0 0 0 0 0 0 0 0
"205" NA NA NA 0 NA NA NA NA NA NA NA NA
"216" 0 0 NA NA 0 NA NA NA 0 NA 0 0
"217" 0 0 0 0 0 0 0 0 0 0 0 0
"218" NA NA NA 0 0 NA NA NA 0 NA NA NA
"223" NA NA NA NA NA 0 NA NA NA NA NA NA
"224" NA NA NA NA 0 0 0 NA 0 0 0 NA
"225" NA NA 0 0 0 NA NA NA NA 0 0 NA
"226" NA 0 0 0 0 0 0 0 0 0 0 0
"239" 0 0 0 0 0 NA NA NA 0 0 0 0
"240" NA NA NA 0 0 0 NA NA NA 0 0 NA
"247" NA NA NA NA NA NA NA 0 0 NA NA NA
"248" NA NA 0 NA 0 0 NA NA 0 NA NA NA
"250" NA 0 NA 0 0 NA NA NA 0 NA NA NA
"263" NA NA NA NA NA NA 0 NA NA NA NA NA
"264" NA NA NA NA 0 NA NA NA 0 0 0 NA
"272" 0 NA NA NA 0 0 NA NA 0 0 0 0
"273" NA NA 0 NA 0 NA NA NA 0 0 0 NA
"274" NA 0 0 0 0 0 NA 0 NA NA NA NA
"275" 0 NA 0 0 0 0 0 0 0 0 0 NA
"297" NA NA NA NA 0 NA NA 0 0 0 NA NA
"298" NA NA NA NA NA 0 NA NA 0 0 0 0
"299" 0 0 0 0 0 0 0 0 0 0 0 0
"321" NA NA NA NA 0 NA NA NA 0 0 NA NA
"322" 0 0 0 0 0 0 0 0 0 0 0 0
"323" 0 0 0 0 0 0 0 NA 0 0 0 0
"331" NA NA NA 0 NA NA NA NA NA NA NA NA
"344" NA NA 0 0 0 NA NA NA NA 0 0 NA
"345" 0 0 0 0 0 0 0 0 0 0 0 0
"367" NA 0 0 0 0 0 0 0 0 0 0 0
"368" NA NA NA NA 0 0 NA NA 0 NA NA NA
"369" NA NA NA NA NA NA 0 NA NA NA NA NA
"391" 0 0 0 0 0 0 0 0 0 0 0 0
"392" NA NA NA NA NA 0 NA NA NA NA 0 NA
"393" NA 0 0 0 0 0 0 0 0 0 0 0
"414" 0 0 0 0 0 0 0 NA 0 0 0 0
"415" NA 0 NA 0 0 0 0 0 0 0 NA NA
"416" NA NA NA 0 NA 0 NA 0 NA NA NA 0
"437" 0 0 0 0 0 0 0 0 0 0 0 0
"438" 0 0 0 0 0 0 0 0 0 0 0 0
"459" 0 NA 0 0 NA NA 0 0 0 0 NA 0
"460" 0 0 0 0 0 0 0 0 0 0 0 0
"461" NA 0 0 0 0 0 NA 0 0 0 0 0
"482" 0 0 0 0 0 0 0 0 0 0 0 0
"483" 0 0 0 0 0 0 0 0 0 0 0 0
"500" NA NA NA NA NA NA NA NA 0 NA NA NA
"504" 0 NA 0 NA 0 NA 0 0 0 0 0 0
"505" NA NA NA NA 0 0 0 NA 0 0 0 NA
"526" NA 0 0 0 0 0 0 0 0 0 0 0
"547" NA NA NA 0 0 NA NA NA 0 0 NA NA
