"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"2648" NA NA NA NA NA NA NA NA NA NA NA 1
"2667" 1 NA NA NA NA NA NA NA NA NA NA 1
"2931" NA NA NA NA NA NA NA NA NA 0 NA NA
"3776" NA NA NA NA NA NA NA NA NA 0 NA NA
"4432" NA NA NA NA NA NA NA NA NA 0 NA NA
"4513" NA NA NA NA NA NA NA 1 NA 1 NA NA
"4528" NA NA NA NA NA 0 NA NA NA NA NA NA
"4546" NA NA NA 1 NA NA NA NA NA NA NA NA
"4821" NA NA NA NA NA NA NA NA NA 0 NA NA
"4966" NA NA NA NA NA NA NA NA NA NA 1 NA
"5096" NA NA NA NA NA NA NA NA 0 NA NA NA
"5134" NA NA NA NA NA NA NA 0 NA NA NA NA
"5148" 0 NA NA NA NA NA NA NA NA NA NA NA
"5159" NA NA NA 1 1 NA 1 NA NA 1 NA NA
"5175" NA NA NA 1 1 NA NA NA NA 1 NA NA
"5177" NA NA NA 1 1 NA NA NA NA 1 NA NA
"5178" NA NA NA 1 1 NA NA NA NA 1 NA NA
"5193" NA NA NA 1 NA NA NA NA NA 1 NA NA
"5194" NA NA NA 1 NA NA 1 NA NA 1 NA NA
"5197" NA NA NA 1 NA NA 1 NA NA 1 NA NA
"5198" NA NA NA 1 1 NA NA NA NA 1 NA NA
"5199" NA NA NA 1 NA NA 1 NA NA 1 1 NA
"5217" NA NA NA 1 NA NA 1 1 NA 1 NA NA
"5222" NA NA NA 1 1 NA NA NA NA 1 NA NA
"5223" NA NA NA 1 NA NA NA NA NA 1 NA NA
"5238" NA NA NA 1 NA NA NA NA NA NA NA NA
"5239" NA NA NA 1 NA NA NA NA NA NA NA NA
"5245" NA NA NA NA NA NA NA NA NA 1 NA NA
"5246" NA NA NA NA NA NA NA NA NA 1 NA NA
"5247" NA NA NA 1 1 NA 1 NA NA 1 1 NA
"5264" NA NA NA 1 NA NA NA NA NA NA NA NA
"5272" NA NA NA NA NA NA 1 NA NA NA NA NA
"5273" NA NA NA 1 1 NA NA NA NA 1 1 NA
"5287" NA NA NA 1 NA NA NA NA NA NA NA NA
"5288" NA NA NA NA NA NA 1 NA NA 1 NA NA
"5299" NA NA NA NA NA NA 1 NA NA 1 1 NA
"5307" NA NA NA NA NA NA NA NA NA 0 NA NA
"5313" NA NA NA 1 NA NA NA 1 NA 1 NA NA
"5314" NA NA NA 1 NA NA NA NA NA NA NA NA
"5326" NA NA NA NA NA NA NA NA NA 1 NA NA
"5327" NA NA NA 1 1 NA NA NA NA 1 1 NA
"5339" NA NA NA NA NA NA 1 NA NA NA NA NA
"5353" NA NA NA NA NA NA NA NA NA 1 NA NA
"5354" NA NA NA 1 1 NA NA NA NA 1 1 NA
"5364" NA NA NA NA NA NA 1 NA NA NA NA NA
"5380" NA NA NA 1 NA NA 1 NA NA 1 1 NA
"5406" NA NA NA 1 NA NA 1 NA NA 1 1 NA
"5407" NA NA NA NA NA NA NA 1 NA NA NA NA
"5434" NA NA NA 1 NA NA NA NA NA 1 NA NA
