"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"8484" NA NA NA 0 NA NA NA NA NA NA NA NA
"8676" 0 NA NA NA NA NA NA NA NA NA NA NA
"8726" NA NA 0 NA NA NA NA NA NA NA NA NA
"8775" 0 NA 0 NA 0 NA NA NA NA NA 0 NA
"8777" NA NA 0 NA NA NA 0 NA NA NA NA NA
"8822" NA 0 NA NA NA NA NA NA NA NA NA NA
"8828" 0 NA NA NA NA NA NA NA NA NA NA NA
"8867" NA 0 0 NA NA NA NA NA NA NA NA NA
"8868" NA 0 0 NA NA NA NA NA NA NA NA NA
"8872" NA NA NA NA NA NA 0 NA NA NA NA NA
"8913" 0 0 1 NA NA NA NA NA NA NA NA NA
"8914" 0 NA 0 NA NA NA 0 NA NA NA NA NA
"9005" 0 NA NA NA NA NA NA NA NA NA NA NA
"9061" NA NA NA NA 0 NA NA NA NA NA NA 0
"9094" 0 NA NA NA NA NA NA NA NA NA NA NA
"9106" 0 NA NA NA NA NA NA NA NA NA NA NA
"9152" 0 NA 0 1 0 NA NA NA NA NA NA NA
"9178" NA NA 0 NA NA NA NA NA NA NA NA NA
"9195" NA NA NA NA NA NA NA NA 0 NA NA NA
"9221" 0 0 NA NA NA NA NA NA NA NA NA NA
"9223" NA 0 0 NA NA NA NA NA NA NA NA NA
"9238" NA NA 0 NA 1 NA NA NA NA NA NA NA
"9263" 0 NA NA NA NA NA NA NA NA NA NA NA
"9651" NA NA NA NA 1 NA NA NA NA NA NA NA
"10000" NA NA 1 NA NA NA NA NA NA NA NA NA
"10123" NA NA NA 0 NA NA NA NA NA NA NA NA
"10125" NA NA NA NA 0 NA NA NA NA NA NA NA
"10145" NA NA NA 1 NA NA NA NA NA NA NA NA
"10149" NA NA NA 1 NA NA NA NA NA NA NA NA
"10195" NA NA NA 0 NA NA NA NA NA NA NA NA
"10217" NA NA NA 0 0 NA NA NA NA NA NA NA
"10260" NA NA NA NA NA 1 0 NA NA NA NA 0
"10284" NA NA 0 NA NA NA NA NA NA NA NA NA
"10370" 0 NA NA NA NA NA NA NA NA NA NA NA
"10429" NA 0 NA NA NA NA NA NA NA NA NA NA
"10477" NA 0 NA NA NA NA NA NA NA NA NA NA
"10514" NA 0 NA NA NA NA NA NA NA NA NA NA
"10571" NA NA 0 0 NA NA NA NA NA NA 0 NA
"10588" NA NA NA NA NA NA NA NA NA NA 1 NA
"10608" NA NA NA NA NA NA NA NA NA 0 0 NA
"10609" NA NA 0 0 NA NA NA NA NA NA NA NA
"10626" NA NA NA NA NA NA 0 NA NA NA NA NA
"10642" NA NA NA 1 NA NA NA NA NA NA NA NA
"10649" NA 0 0 0 NA NA NA NA NA NA NA NA
"10671" NA NA NA 0 NA NA NA NA NA NA NA NA
"10691" NA 0 1 NA 1 0 NA NA NA NA NA NA
"10728" NA NA 1 NA NA NA NA NA NA NA NA NA
"10745" NA NA NA NA NA 1 NA NA NA NA NA NA
"10776" NA NA 1 NA NA NA NA NA NA NA NA NA
"10779" NA 1 NA NA 0 NA NA NA NA NA NA NA
"10780" NA NA NA NA NA NA 1 NA NA NA NA NA
"10797" NA NA 0 NA NA NA 0 NA NA NA NA NA
"10798" NA 0 NA NA NA NA NA NA NA NA NA NA
"10813" NA NA NA 1 NA NA NA NA NA NA NA NA
"10817" NA NA NA 1 NA NA NA NA NA NA NA NA
"10818" NA 0 0 NA NA NA 1 NA NA NA NA NA
"10819" NA NA NA NA 0 NA NA NA NA NA NA NA
"10820" NA NA NA 0 0 NA NA NA NA NA NA NA
"10821" NA NA NA 0 NA NA NA NA NA NA NA NA
"10841" NA NA NA 0 NA 1 NA NA NA NA NA NA
"10842" NA NA NA 0 NA NA NA NA NA NA NA NA
"10859" 0 0 0 0 1 NA NA 0 NA NA 0 NA
"10880" NA NA 0 0 NA NA NA NA NA NA NA NA
"10881" NA NA 0 0 0 NA NA NA NA NA NA NA
"10903" NA NA 1 NA 0 1 0 NA NA NA NA NA
"10904" NA NA NA NA 0 NA NA NA NA NA NA NA
"10918" NA 0 NA NA NA NA NA NA NA NA NA NA
"10919" NA NA NA 1 NA NA NA NA NA NA NA NA
"10923" NA NA NA NA NA NA NA NA NA NA NA 0
"10972" NA NA NA NA 1 NA NA NA NA NA NA NA
"10979" NA NA NA NA 0 NA NA NA NA NA NA NA
"10990" NA NA 0 NA NA NA NA NA NA NA NA NA
"11032" NA NA NA NA 0 NA NA NA NA NA NA NA
"11034" NA NA NA NA 0 NA NA NA NA NA NA NA
"11036" NA NA NA NA NA 1 NA NA NA NA NA NA
"11059" NA NA NA NA 0 NA NA NA NA NA NA NA
"11061" NA NA NA 0 0 NA NA NA NA NA NA NA
"11076" NA 1 NA NA NA NA NA NA NA NA NA NA
"11083" NA NA NA NA NA NA NA NA NA NA 1 NA
"11084" NA NA NA NA 1 NA NA NA NA NA NA NA
"11090" NA NA NA NA 1 NA NA NA NA NA NA NA
"11095" NA NA NA NA NA NA NA NA 1 NA NA NA
"11115" NA NA NA NA NA NA NA NA 0 NA NA NA
"11118" NA NA NA NA 0 NA NA NA NA NA NA NA
"11120" NA NA NA NA 0 NA NA NA NA NA NA NA
"11151" NA NA NA NA 1 NA NA NA NA NA NA NA
"11163" NA NA 1 NA NA NA NA NA NA NA NA NA
"11171" NA 0 NA NA NA NA NA NA NA NA NA NA
"11180" NA NA NA NA NA NA NA NA NA 1 NA NA
"11182" NA NA NA NA 0 NA NA NA NA NA NA NA
"11193" NA NA NA NA 1 NA NA NA NA NA NA NA
"11194" NA NA NA 1 NA NA NA NA NA NA NA NA
"11201" NA NA NA NA NA 1 NA NA NA NA NA NA
"11202" NA NA NA NA NA 1 NA NA NA NA NA NA
"11203" NA NA NA NA 1 NA NA NA NA NA NA NA
"11211" NA NA NA NA 0 NA NA NA NA NA NA NA
"11212" NA NA NA NA 0 NA NA NA NA NA NA NA
"11233" NA NA NA 1 NA NA NA NA NA NA NA NA
"11243" NA NA NA NA 0 NA NA NA NA NA NA NA
"11244" NA NA NA NA 0 NA NA NA NA NA NA NA
"11257" NA NA NA 0 NA NA NA NA NA NA NA NA
"11258" NA NA NA 1 NA NA NA NA NA NA 0 NA
"11266" NA NA NA NA NA NA NA NA NA 1 NA NA
"11267" NA NA NA NA NA 1 NA NA NA NA NA NA
"11270" NA NA NA NA NA NA NA NA NA 0 NA NA
"11276" NA NA NA NA 1 NA NA NA NA NA NA NA
"11277" NA NA NA NA 0 NA NA NA NA NA NA NA
"11291" NA NA NA 1 NA 1 NA NA NA NA NA NA
"11293" NA NA NA 1 NA NA NA NA NA NA NA NA
"11294" NA NA NA NA NA 1 NA NA NA NA NA NA
"11299" NA NA NA NA NA 1 NA NA NA NA NA NA
"11309" NA NA NA NA 0 NA NA NA NA NA NA NA
"11310" NA NA NA NA 0 NA NA NA NA NA NA NA
"11326" NA NA 1 NA NA NA NA NA NA NA NA NA
"11327" NA NA 1 NA NA NA NA NA NA NA NA NA
"11328" NA NA NA NA NA 0 NA NA NA NA NA NA
"11329" NA NA NA 1 NA 1 NA NA NA NA NA 1
"11334" NA NA NA 0 NA NA NA NA NA NA NA NA
"11336" NA 1 NA NA NA NA NA NA NA NA NA NA
"11345" NA NA NA NA 0 NA NA NA NA NA NA NA
"11364" NA NA NA NA NA NA NA NA NA NA NA 1
"11368" NA NA NA NA NA NA NA NA NA 1 NA NA
"11369" NA NA NA 0 NA NA NA NA NA NA NA NA
"11379" NA NA NA NA 0 NA NA NA NA NA NA NA
"11380" NA NA NA NA 0 NA NA NA NA NA NA NA
"11399" NA NA NA NA NA NA NA NA NA NA NA 1
"11404" NA NA NA NA NA 1 NA NA NA NA NA NA
