"NLists" "NSppDetec"
"99" 2 1
"123" 7 2
"137" 2 1
"138" 5 2
"140" 1 1
"154" 35 2
"155" 44 2
"156" 1 1
"158" 10 2
"172" 2 1
"173" 4 1
"174" 11 2
"175" 44 2
"176" 15 2
"179" 5 2
"180" 2 2
"193" 23 2
"194" 3 2
"195" 11 2
"196" 5 2
"200" 11 2
"201" 11 2
"216" 2 1
"217" 19 2
"218" 2 1
"223" 2 1
"224" 9 2
"225" 6 2
"226" 18 1
"239" 14 2
"240" 11 1
"247" 1 1
"248" 2 2
"250" 1 1
"264" 3 2
"272" 9 2
"273" 9 2
"274" 4 1
"275" 22 1
"297" 3 2
"298" 3 2
"299" 43 1
"321" 2 1
"322" 23 1
"323" 16 1
"344" 2 1
"345" 38 1
"367" 14 1
"368" 2 1
"369" 1 1
"391" 40 1
"392" 2 1
"393" 28 1
"414" 15 1
"415" 4 1
"416" 2 1
"437" 46 1
"438" 27 1
"459" 10 1
"460" 27 1
"461" 9 1
"482" 21 1
"483" 24 1
"504" 5 1
"505" 8 1
"526" 15 1
"547" 7 1
"548" 15 1
"549" 1 1
"569" 24 1
"570" 15 1
"571" 10 1
"591" 23 1
"592" 38 1
"611" 3 1
"612" 19 1
"613" 6 1
"632" 15 1
"633" 5 1
"651" 11 1
"652" 3 1
"668" 1 1
"670" 1 1
"671" 5 1
"685" 13 1
"687" 7 1
"698" 6 1
"699" 22 1
"709" 7 1
"710" 23 1
"711" 1 1
"720" 14 1
"721" 26 1
"722" 1 1
"732" 21 1
"733" 9 1
"742" 11 1
"743" 12 1
"752" 11 1
"753" 7 1
"762" 11 1
"772" 4 1
"773" 1 1
"782" 8 1
"783" 2 1
"792" 12 1
"801" 8 1
"810" 1 1
"818" 21 1
"826" 61 1
"834" 9 1
"842" 60 1
"858" 3 1
"2615" 1 1
"2616" 3 1
"2632" 1 1
"2641" 16 1
"2648" 6 1
"2657" 1 1
"2659" 2 1
"2660" 4 1
"2667" 5 2
"2668" 1 1
"2669" 11 1
"2670" 11 1
"2699" 2 1
"2708" 177 1
"2709" 12 1
"2724" 116 2
"2738" 13 1
"2746" 62 2
"2760" 14 2
"2768" 23 2
"3092" 1 1
"4385" 11 3
"4419" 11 3
"4452" 8 3
"4484" 6 2
"4485" 2 2
"4517" 18 4
"4549" 9 3
"4581" 17 3
"4613" 22 3
"4787" 2 1
"4971" 1 1
"5006" 10 3
"5024" 2 1
"5034" 2 1
"5039" 16 3
"5071" 23 2
"5084" 8 2
"5095" 8 3
"5108" 3 2
"5119" 2 1
"5133" 17 2
"5159" 14 7
"5166" 31 3
"5175" 42 8
"5177" 33 8
"5178" 26 7
"5184" 3 2
"5193" 21 7
"5194" 56 7
"5195" 1 1
"5197" 3 3
"5198" 27 7
"5199" 11 6
"5206" 10 1
"5216" 4 1
"5217" 30 7
"5221" 11 5
"5222" 47 6
"5223" 12 4
"5230" 12 3
"5236" 1 1
"5238" 67 7
"5239" 50 7
"5241" 3 2
"5242" 1 1
"5245" 12 6
"5246" 18 6
"5247" 37 8
"5262" 11 4
"5263" 35 7
"5264" 35 8
"5266" 2 2
"5267" 2 1
"5270" 2 1
"5271" 1 1
"5272" 13 5
"5273" 29 8
"5280" 21 3
"5287" 23 6
"5288" 67 8
"5290" 1 1
"5291" 1 1
"5292" 1 1
"5298" 1 1
"5299" 31 7
"5313" 48 8
"5314" 17 7
"5315" 3 1
"5317" 1 1
"5322" 1 1
"5323" 1 1
"5325" 1 1
"5326" 21 5
"5327" 23 5
"5332" 26 3
"5339" 24 8
"5340" 4 3
"5342" 1 1
"5343" 1 1
"5353" 11 4
"5354" 21 6
"5359" 20 2
"5364" 28 6
"5365" 1 1
"5366" 1 1
"5367" 2 1
"5368" 1 1
"5369" 1 1
"5374" 2 1
"5380" 51 8
"5384" 6 1
"5389" 21 5
"5390" 3 1
"5398" 1 1
"5401" 1 1
"5406" 46 6
"5411" 15 3
"5416" 28 6
"5417" 1 1
"5419" 1 1
"5425" 1 1
"5434" 6 4
"5443" 31 6
"5444" 4 1
"5445" 1 1
"5448" 1 1
"5461" 6 3
"5462" 16 4
"5468" 13 2
"5472" 7 1
"5473" 5 2
"5474" 62 8
"5475" 3 1
"5476" 1 1
"5494" 25 6
"5501" 44 3
"5504" 15 2
"5505" 7 2
"5506" 25 5
"5507" 4 1
"5514" 1 1
"5526" 18 5
"5536" 107 3
"5537" 8 2
"5538" 1 1
"5539" 32 6
"5541" 1 1
"5548" 2 2
"5552" 1 1
"5560" 13 4
"5566" 17 1
"5569" 1 1
