"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"10997" NA NA NA 0 NA NA NA NA NA NA NA NA
"11006" NA NA NA NA 0 NA NA NA NA NA NA NA
"11008" NA NA NA NA NA NA 0 NA NA NA NA NA
"11019" NA NA 0 NA NA NA NA NA NA NA NA NA
"11023" 0 0 NA NA NA NA NA NA NA NA NA NA
"11032" NA NA NA NA 0 NA NA NA NA NA NA NA
"11034" NA NA NA NA 0 0 NA NA NA NA NA NA
"11036" NA NA NA NA NA 1 NA NA NA NA NA NA
"11049" NA NA 0 NA NA NA NA NA NA NA NA NA
"11050" 0 0 NA NA NA NA NA NA NA NA NA NA
"11059" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11061" NA NA NA 0 0 0 NA NA NA NA NA NA
"11076" NA 1 NA NA NA NA NA 0 NA NA NA NA
"11077" 0 0 NA NA NA NA NA NA NA NA NA NA
"11084" NA NA 0 NA NA NA NA NA NA NA NA NA
"11088" 0 NA NA NA NA NA NA 0 NA NA NA NA
"11089" NA NA NA NA NA NA NA 0 NA NA NA NA
"11090" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11091" NA NA NA NA NA 0 NA NA NA NA NA NA
"11095" NA NA NA NA NA NA NA NA 0 NA NA NA
"11104" NA NA NA 0 NA NA NA NA NA NA NA NA
"11107" NA 0 NA NA NA NA NA NA NA NA NA 0
"11115" NA NA NA 0 NA NA NA NA 0 NA NA NA
"11117" 0 NA NA NA NA NA NA NA NA NA 0 NA
"11118" NA NA NA NA 0 NA NA 0 NA NA NA NA
"11120" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11136" NA NA NA 0 NA NA NA NA NA NA NA NA
"11137" 0 NA NA NA NA NA NA NA NA NA NA NA
"11143" NA NA NA NA NA NA NA NA NA NA 0 NA
"11145" NA NA NA NA NA NA NA 0 NA NA NA NA
"11147" 0 NA NA NA NA NA NA NA NA NA NA NA
"11151" 0 NA NA NA 1 0 NA 0 NA NA 0 NA
"11152" NA NA NA NA 0 NA NA NA NA NA NA NA
"11163" NA NA 1 NA NA NA NA NA NA NA NA NA
"11166" NA NA NA 0 NA NA NA NA NA NA NA NA
"11167" 0 0 NA NA NA NA NA NA NA NA 0 NA
"11171" NA 0 NA NA NA NA NA NA NA NA NA NA
"11173" NA NA NA NA NA NA NA NA NA NA 0 NA
"11180" NA NA NA NA NA NA NA NA NA 1 0 NA
"11181" NA NA NA NA 0 NA NA 0 NA NA NA NA
"11182" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11197" 0 0 NA NA NA NA NA NA NA NA NA NA
"11211" NA NA NA NA 0 NA NA NA NA NA NA NA
"11212" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11227" NA NA NA NA NA NA NA NA NA NA NA 0
"11233" NA NA NA 1 NA NA NA NA NA NA 0 NA
"11239" NA NA NA 0 NA NA NA NA NA NA NA NA
"11241" NA NA NA NA NA NA 0 NA NA NA NA NA
"11242" NA NA NA NA NA NA 0 NA NA NA NA NA
"11243" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11244" NA NA NA NA 0 0 NA NA NA NA NA NA
