"NLists" "NSppDetec"
"239" 4 1
"264" 1 1
"265" 3 2
"289" 10 5
"312" 1 1
"314" 3 3
"318" 2 1
"335" 3 1
"336" 22 2
"337" 1 1
"340" 1 1
"344" 18 11
"367" 2 2
"379" 2 2
"380" 2 2
"387" 5 2
"391" 19 7
"405" 3 3
"410" 3 2
"414" 56 19
"455" 1 1
"483" 14 6
"524" 2 2
"525" 1 1
"535" 1 1
"549" 11 5
"557" 1 1
"577" 3 3
"579" 1 1
"580" 1 1
"584" 4 3
"585" 1 1
"587" 1 1
"588" 1 1
"597" 1 1
"598" 1 1
"600" 2 2
"608" 1 1
"618" 5 3
"626" 4 2
"637" 3 3
"638" 4 3
"639" 6 5
"643" 2 2
"645" 4 3
"646" 4 2
"655" 2 2
"663" 3 2
"677" 2 2
"679" 1 1
"680" 4 2
"690" 4 2
"710" 4 4
"713" 2 2
"714" 4 2
"717" 1 1
"735" 3 3
"736" 1 1
"738" 1 1
"740" 4 2
"754" 1 1
"758" 2 1
"759" 1 1
"765" 2 2
"770" 1 1
"777" 1 1
"779" 1 1
"790" 1 1
"819" 1 1
"820" 1 1
"835" 1 1
"846" 2 1
"847" 2 1
"854" 8 2
"855" 1 1
"861" 4 4
"869" 5 4
"870" 8 6
"876" 5 3
"877" 4 1
"886" 3 2
"892" 2 2
"893" 3 2
"894" 1 1
"900" 6 6
"902" 6 4
"903" 2 2
"909" 2 2
"910" 2 2
"916" 1 1
"918" 1 1
"919" 1 1
"922" 16 11
"926" 2 2
"929" 8 7
"934" 3 3
"935" 2 1
"944" 7 7
"945" 8 5
"947" 2 2
"948" 2 2
"956" 1 1
"958" 2 2
"990" 1 1
"996" 3 3
"1002" 1 1
"1005" 1 1
"1010" 1 1
"1016" 1 1
"1025" 2 2
"1027" 4 3
"1039" 8 7
"1040" 1 1
"1053" 3 3
"1060" 1 1
"1067" 1 1
"1073" 4 3
"1074" 9 5
"1075" 11 4
"1088" 2 2
"1089" 4 2
"1090" 11 7
"1091" 1 1
"1102" 4 3
"1103" 3 2
"1105" 1 1
"1116" 5 3
"1129" 3 1
"1131" 3 2
"1135" 1 1
"1142" 1 1
"1145" 10 5
"1148" 7 7
"1155" 1 1
"1161" 6 2
"1168" 1 1
"1169" 8 5
"1174" 4 1
"1181" 5 4
"1182" 5 4
"1183" 1 1
"1195" 2 2
"1196" 4 2
"1200" 1 1
"1201" 1 1
"1202" 5 2
"1208" 4 4
"1209" 1 1
"1215" 7 2
"1216" 3 2
"1223" 3 3
"1224" 1 1
"1228" 4 3
"1238" 1 1
"1239" 1 1
"1242" 1 1
"1243" 2 2
"1244" 2 2
"1248" 1 1
"1253" 1 1
"1263" 1 1
"1306" 1 1
"1340" 2 2
"1341" 1 1
"1355" 1 1
"1357" 5 2
"1358" 1 1
"1373" 17 9
"1374" 2 1
"1388" 2 2
"1390" 3 3
"1403" 6 4
"1409" 1 1
"1418" 3 3
"1421" 1 1
"1430" 1 1
"1433" 3 2
"1440" 3 2
"1449" 4 3
"1450" 4 4
"1451" 1 1
"1452" 3 3
"1455" 1 1
"1456" 1 1
"1463" 10 6
"1464" 4 4
"1465" 4 1
"1466" 3 3
"1471" 1 1
"1477" 1 1
"1481" 3 2
"1484" 6 4
"1485" 3 3
"1494" 1 1
"1499" 2 2
"1500" 1 1
"1509" 1 1
"1510" 5 4
"1515" 1 1
"1524" 3 2
"1525" 1 1
"1530" 1 1
"1543" 1 1
"1544" 3 3
"1545" 1 1
"1551" 1 1
"1559" 3 3
"1580" 1 1
"1591" 2 2
"1604" 1 1
"1631" 3 2
"1632" 2 2
"1633" 1 1
"1634" 2 1
"1644" 4 4
"1645" 4 3
"1646" 1 1
"1659" 3 2
"1670" 3 3
"1672" 3 1
"1673" 5 3
"1684" 4 3
"1685" 1 1
"1697" 4 4
"1698" 2 1
"1700" 1 1
"1703" 2 1
"1704" 1 1
"1706" 1 1
"1711" 3 3
"1718" 3 3
"1723" 12 3
"1724" 2 2
"1725" 4 3
"1726" 1 1
"1729" 2 1
"1730" 3 2
"1747" 5 3
"1749" 2 2
"1750" 1 1
"1753" 3 3
"1760" 2 2
"1761" 1 1
"1765" 1 1
"1771" 2 2
"1772" 2 2
"1773" 3 2
"1774" 2 2
"1775" 3 2
"1786" 2 2
"1789" 8 4
"1856" 1 1
"1858" 1 1
"1870" 2 1
"1883" 4 3
"1899" 1 1
"1900" 2 2
"1902" 1 1
"1912" 2 2
"1923" 2 2
"1924" 3 3
"1930" 1 1
"1937" 2 2
"1940" 2 2
"1949" 2 2
"1951" 3 1
"1952" 3 2
"1962" 5 2
"1964" 1 1
"1967" 1 1
"1973" 4 4
"1974" 9 6
"1975" 2 1
"1976" 1 1
"1987" 1 1
"1988" 1 1
"2000" 2 1
"2001" 1 1
"2012" 4 2
"2023" 8 6
"2024" 1 1
"2025" 1 1
"2035" 1 1
"2055" 6 6
"2104" 1 1
"2115" 1 1
"2116" 3 2
"2126" 2 2
"2136" 2 2
"2137" 5 5
"2139" 2 2
"2143" 1 1
"2144" 1 1
"2145" 2 2
"2148" 3 3
"2153" 1 1
"2155" 2 2
"2161" 1 1
"2162" 1 1
"2172" 2 1
"2176" 1 1
"2180" 4 4
"2181" 2 2
"2184" 3 3
"2194" 2 1
"2202" 4 3
"2203" 1 1
"2206" 5 3
"2226" 1 1
"2229" 6 1
"2241" 1 1
"2243" 1 1
"2253" 2 1
"2254" 1 1
"2256" 3 3
"2270" 2 1
"2278" 2 2
"2279" 1 1
"2280" 3 3
"2294" 4 4
"2297" 1 1
"2307" 2 1
"2308" 1 1
"2327" 2 2
"2337" 1 1
"2339" 1 1
"2350" 1 1
"2481" 1 1
"2492" 1 1
"2525" 2 1
"2590" 2 2
"2597" 1 1
"2598" 13 5
"2606" 6 3
"2612" 1 1
"2642" 2 2
"2644" 2 1
"2658" 1 1
"2672" 3 3
"2678" 3 2
"2702" 3 3
"2705" 1 1
"2714" 2 1
"2719" 0 0
"2728" 1 1
"2738" 1 1
"2744" 5 4
"2746" 1 1
"2758" 3 1
"2765" 2 1
"2766" 1 1
"2768" 1 1
"2780" 1 1
"2781" 2 1
"2782" 4 1
"2784" 2 2
"2787" 1 1
"2788" 4 4
"2789" 1 1
"2793" 3 1
"2794" 9 5
"2795" 2 1
"2797" 1 1
"2798" 3 2
"2808" 3 3
"2809" 2 1
"2816" 1 1
"2817" 2 2
"2839" 1 1
"2847" 1 1
"2854" 1 1
"2873" 1 1
"2877" 3 3
"2882" 2 2
"2883" 1 1
"2893" 3 3
"2894" 5 1
"2904" 1 1
"2906" 2 1
"2917" 1 1
"2918" 12 1
"2923" 1 1
"2928" 3 3
"2930" 3 1
"2931" 2 1
"2936" 3 3
"2940" 1 1
"2942" 4 4
"2943" 5 3
"2944" 1 1
"2956" 1 1
"2957" 1 1
"2965" 8 5
"2966" 6 4
"2970" 3 3
"2980" 5 3
"2984" 1 1
"2993" 1 1
"2995" 2 2
"2996" 4 3
"2997" 2 2
"2998" 1 1
"3006" 1 1
"3007" 3 2
"3008" 2 2
"3010" 2 1
"3011" 1 1
"3020" 1 1
"3021" 2 2
"3024" 3 3
"3025" 3 2
"3030" 1 1
"3034" 3 3
"3035" 4 4
"3036" 1 1
"3038" 5 1
"3039" 1 1
"3058" 1 1
"3063" 6 1
"3064" 2 1
"3077" 11 4
"3087" 1 1
"3090" 3 1
"3091" 7 4
"3092" 14 8
"3101" 1 1
"3102" 3 3
"3103" 2 1
"3104" 1 1
"3105" 16 4
"3106" 1 1
"3113" 1 1
"3114" 1 1
"3115" 3 3
"3118" 11 1
"3119" 1 1
"3133" 1 1
"3144" 3 3
"3147" 1 1
"3148" 1 1
"3159" 3 3
"3160" 2 2
"3162" 5 3
"3175" 1 1
"3176" 1 1
"3178" 1 1
"3187" 3 2
"3188" 2 2
"3190" 2 2
"3199" 1 1
"3201" 4 4
"3212" 5 5
"3214" 10 5
"3217" 2 1
"3223" 2 2
"3226" 4 3
"3239" 4 4
"3240" 1 1
"3241" 5 4
"3254" 2 1
"3255" 1 1
"3256" 1 1
"3264" 4 4
"3266" 1 1
"3269" 4 4
"3270" 1 1
"3289" 1 1
"3308" 6 2
"3322" 1 1
"3349" 1 1
"3353" 1 1
"3356" 2 2
"3382" 1 1
"3429" 6 6
"3443" 2 1
"3454" 9 6
"3517" 2 1
"3518" 1 1
"3521" 1 1
"3548" 4 3
"3549" 1 1
"3574" 1 1
"3575" 1 1
"3580" 1 1
"3581" 10 5
"3585" 4 4
"3596" 1 1
"3602" 2 2
"3606" 1 1
"3612" 2 2
"3613" 4 4
"3622" 3 3
"3628" 1 1
"3633" 4 2
"3636" 2 1
"3639" 3 3
"3642" 1 1
"3647" 2 2
"3661" 1 1
"3670" 1 1
"3674" 3 2
"3675" 1 1
"3676" 1 1
"3681" 2 2
"3689" 2 2
"3691" 2 2
"3703" 1 1
"3704" 2 1
"3708" 4 4
"3709" 2 2
"3711" 6 6
"3716" 5 3
"3722" 1 1
"3731" 2 2
"3739" 1 1
"3744" 1 1
"3749" 5 4
"3766" 2 2
"3778" 2 2
"3779" 1 1
"3780" 1 1
"3786" 1 1
"3796" 2 2
"3800" 1 1
"3844" 1 1
"3849" 1 1
"3855" 2 2
"3875" 1 1
"3890" 1 1
"3891" 3 3
"3895" 3 3
"3910" 1 1
"3934" 1 1
"3944" 1 1
"3968" 1 1
"3991" 1 1
"4007" 1 1
"4008" 7 6
"4012" 4 2
"4024" 1 1
"4039" 2 2
"4040" 1 1
"4041" 8 7
"4047" 1 1
"4061" 1 1
"4074" 2 2
"4076" 2 2
"4079" 2 2
"4087" 1 1
"4089" 1 1
"4112" 1 1
"4117" 5 5
"4118" 2 1
"4120" 2 2
"4129" 4 4
"4132" 1 1
"4155" 1 1
"4169" 1 1
"4170" 1 1
"4175" 1 1
"4189" 1 1
"4190" 1 1
"4192" 1 1
"4196" 1 1
"4197" 1 1
"4202" 1 1
"4233" 5 4
"4239" 1 1
"4243" 3 3
"4245" 2 2
"4260" 1 1
"4261" 2 2
"4263" 1 1
"4288" 3 3
"4292" 3 3
"4293" 3 3
"4296" 3 3
"4302" 2 2
"4303" 2 2
"4311" 1 1
"4313" 1 1
"4317" 2 2
"4319" 2 2
"4323" 3 3
"4324" 1 1
"4326" 8 7
"4328" 1 1
"4336" 2 1
"4337" 3 2
"4338" 3 1
"4340" 1 1
